checkpoint_step,B_reweight2_1_historical_mae,F_v3v4_historical_mae,delta_historical_mae,B_gap,F_gap,delta_gap,B_clamp_free_rate,F_clamp_free_rate,B_shoulder_lift_clamp_rate,F_shoulder_lift_clamp_rate,B_elbow_flex_clamp_rate,F_elbow_flex_clamp_rate,B_l2_vs_gt,F_l2_vs_gt,B_step0_key_joint_mae,F_step0_key_joint_mae,B_step1_2_key_joint_mae,F_step1_2_key_joint_mae,B_step3_plus_key_joint_mae,F_step3_plus_key_joint_mae
2500,4.867215,5.063473,0.19625800000000027,-0.0390290000000002,0.6359849999999998,0.675014,0.0,0.15,0.4,0.4,0.75,0.5,10.79258954366903,9.697248820298608,5.219793319702148,4.2669854164123535,4.76125955581665,3.746891736984253,9.562256336212158,11.014443397521973
5000,4.108792,4.299141,0.19034899999999944,0.2702740000000001,1.0706189999999998,0.8003449999999996,0.3,0.65,0.4,0.1,0.65,0.2,5.635972109511743,5.4099614322394505,2.7850838899612427,3.260571002960205,2.4810489416122437,3.4461225271224976,4.425379276275635,7.163826942443848
7500,3.587668,3.779063,0.19139499999999998,0.54765,0.9895679999999998,0.4419179999999998,0.35,0.6,0.25,0.1,0.65,0.35,3.569023103017136,5.180921912926766,1.6409406661987305,2.7645487785339355,1.823102056980133,2.7818121910095215,8.253641843795776,5.336942672729492
10000,3.527781,3.780169,0.25238799999999983,0.630836,1.1643569999999999,0.5335209999999999,0.4,0.65,0.25,0.1,0.6,0.3,3.3128641482859416,4.3815809661065845,1.6166282296180725,2.573272705078125,1.8594542145729065,2.7926199436187744,7.434643268585205,7.231186628341675
