experiment,checkpoint_step,joint,delta_mean_deg,delta_std_deg,would_clamp_threshold_deg,clamp_rate,n_seeds,clamp_free_seed_count,l2_error_vs_gt_mean
C_v2_v3_reweight3_1,2500,elbow_flex,-10.3277531005524,4.8580388009668605,5.73,0.9,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,wrist_flex,-0.5532871896094023,1.882118315530145,4.01,0.05,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,wrist_roll,0.3808450683132628,0.25482268724495455,1.15,0.0,20,0,10.154245700204182
C_v2_v3_reweight3_1,2500,gripper,-0.24719165663130127,1.2345234656468977,9.17,0.0,20,0,10.154245700204182
C_v2_v3_reweight3_1,5000,shoulder_pan,-0.2823592081174744,1.631036605520042,4.58,0.0,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,shoulder_lift,-0.15610357012066914,4.395045156712282,5.16,0.2,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,elbow_flex,-3.498259005703764,3.4039652896313255,5.73,0.25,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,wrist_flex,-3.0451826745337187,1.5134206777250387,4.01,0.25,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,wrist_roll,0.026412509299896136,0.20202983926096382,1.15,0.0,20,11,7.3440012538331505
C_v2_v3_reweight3_1,5000,gripper,-0.6434128175199731,0.5393571604538171,9.17,0.0,20,11,7.3440012538331505
C_v2_v3_reweight3_1,7500,shoulder_pan,-1.2366918459043397,0.8185686624979289,4.58,0.0,20,3,4.9125534815700975
C_v2_v3_reweight3_1,7500,shoulder_lift,4.181858389718198,2.746062198051698,5.16,0.3,20,3,4.9125534815700975
C_v2_v3_reweight3_1,7500,elbow_flex,-7.951496539273103,1.9677344073074396,5.73,0.85,20,3,4.9125534815700975
C_v2_v3_reweight3_1,7500,wrist_flex,-0.8062807732886015,1.0431970980435699,4.01,0.0,20,3,4.9125534815700975
C_v2_v3_reweight3_1,7500,wrist_roll,0.28884425006069936,0.14894510423052204,1.15,0.0,20,3,4.9125534815700975
C_v2_v3_reweight3_1,7500,gripper,-0.07011922697431876,0.3330602645286202,9.17,0.0,20,3,4.9125534815700975
C_v2_v3_reweight3_1,10000,shoulder_pan,-0.39205521489237666,0.7744294021164645,4.58,0.0,20,6,3.666692475932198
C_v2_v3_reweight3_1,10000,shoulder_lift,3.3315230778285496,2.620165414785847,5.16,0.25,20,6,3.666692475932198
C_v2_v3_reweight3_1,10000,elbow_flex,-6.268790850796537,1.9632936364827926,5.73,0.7,20,6,3.666692475932198
C_v2_v3_reweight3_1,10000,wrist_flex,-0.2814808541601835,0.9627914070241195,4.01,0.0,20,6,3.666692475932198
C_v2_v3_reweight3_1,10000,wrist_roll,0.2694687112347106,0.13476311971734067,1.15,0.0,20,6,3.666692475932198
C_v2_v3_reweight3_1,10000,gripper,-0.5249837766111597,0.3151882870856364,9.17,0.0,20,6,3.666692475932198
D_v4_standalone,2500,shoulder_pan,-0.8051060094938173,2.0391736491416284,4.58,0.0,20,1,9.929214944959394
D_v4_standalone,2500,shoulder_lift,4.166448920113706,6.54860461391306,5.16,0.4,20,1,9.929214944959394
D_v4_standalone,2500,elbow_flex,-10.582519946255525,4.961923979187628,5.73,0.8,20,1,9.929214944959394
D_v4_standalone,2500,wrist_flex,-0.49540507138430456,2.2908800907652345,4.01,0.05,20,1,9.929214944959394
D_v4_standalone,2500,wrist_roll,1.192262540675781,1.1631421356403675,1.15,0.55,20,1,9.929214944959394
D_v4_standalone,2500,gripper,0.738561593490769,1.1591427494607538,9.17,0.0,20,1,9.929214944959394
D_v4_standalone,5000,shoulder_pan,-1.3578973188505068,1.1935997111850587,4.58,0.0,20,4,5.608483770482891
D_v4_standalone,5000,shoulder_lift,6.072150366646909,4.081755928397317,5.16,0.5,20,4,5.608483770482891
D_v4_standalone,5000,elbow_flex,-6.457749591030913,2.9124039883963126,5.73,0.65,20,4,5.608483770482891
D_v4_standalone,5000,wrist_flex,-2.182393901950711,1.2937295987036146,4.01,0.05,20,4,5.608483770482891
D_v4_standalone,5000,wrist_roll,0.18480772814907825,0.5525964603410314,1.15,0.05,20,4,5.608483770482891
D_v4_standalone,5000,gripper,0.4270273317872778,0.765964495636713,9.17,0.0,20,4,5.608483770482891
D_v4_standalone,7500,shoulder_pan,-0.37720898533915415,0.8895862428057416,4.58,0.0,20,6,4.4429131292010995
D_v4_standalone,7500,shoulder_lift,2.3812198093959323,2.990641958022713,5.16,0.2,20,6,4.4429131292010995
D_v4_standalone,7500,elbow_flex,-6.354528460659819,2.3656144083508344,5.73,0.65,20,6,4.4429131292010995
D_v4_standalone,7500,wrist_flex,-0.1884192162817655,0.7685086109502004,4.01,0.0,20,6,4.4429131292010995
D_v4_standalone,7500,wrist_roll,0.3892392619625548,0.3695684989951231,1.15,0.05,20,6,4.4429131292010995
D_v4_standalone,7500,gripper,0.007668410736252529,0.3776359081154002,9.17,0.0,20,6,4.4429131292010995
D_v4_standalone,10000,shoulder_pan,-0.5087901964292421,0.802768907346599,4.58,0.0,20,6,4.700740462113819
D_v4_standalone,10000,shoulder_lift,2.1332122257777684,2.8779069239075605,5.16,0.1,20,6,4.700740462113819
D_v4_standalone,10000,elbow_flex,-6.877414736904936,2.2184883948185523,5.73,0.7,20,6,4.700740462113819
D_v4_standalone,10000,wrist_flex,0.09641488253415247,0.7053574920337469,4.01,0.0,20,6,4.700740462113819
D_v4_standalone,10000,wrist_roll,0.18610675177731312,0.35115197541409904,1.15,0.0,20,6,4.700740462113819
D_v4_standalone,10000,gripper,0.23956285615556405,0.40038324575350537,9.17,0.0,20,6,4.700740462113819
E_v2_v3_reweight2_1_early,2500,shoulder_pan,-1.7164847746000185,2.5378267935593737,4.58,0.15,20,0,10.286455980087176
E_v2_v3_reweight2_1_early,2500,shoulder_lift,3.5491343906947606,5.702236587735559,5.16,0.35,20,0,10.286455980087176
E_v2_v3_reweight2_1_early,2500,elbow_flex,-11.44615672604068,5.38166895925135,5.73,0.9,20,0,10.286455980087176
E_v2_v3_reweight2_1_early,2500,wrist_flex,0.15064194857419153,2.144036802690271,4.01,0.05,20,0,10.286455980087176
E_v2_v3_reweight2_1_early,2500,wrist_roll,0.6283945783153989,0.2615286985321544,1.15,0.0,20,0,10.286455980087176
E_v2_v3_reweight2_1_early,2500,gripper,-0.6814263711393579,1.3027526253801296,9.17,0.0,20,0,10.286455980087176
E_v2_v3_reweight2_1_early,5000,shoulder_pan,0.8545302495851622,1.4357748649605795,4.58,0.0,20,6,5.226399218077536
E_v2_v3_reweight2_1_early,5000,shoulder_lift,3.942970221383237,3.614942361297426,5.16,0.35,20,6,5.226399218077536
E_v2_v3_reweight2_1_early,5000,elbow_flex,-6.046262393154936,3.3255179123842527,5.73,0.65,20,6,5.226399218077536
E_v2_v3_reweight2_1_early,5000,wrist_flex,-0.08613058865725379,1.4390839713547063,4.01,0.05,20,6,5.226399218077536
E_v2_v3_reweight2_1_early,5000,wrist_roll,0.4361367925182799,0.15713522006056524,1.15,0.0,20,6,5.226399218077536
E_v2_v3_reweight2_1_early,5000,gripper,0.8850418676912085,0.7356108075093741,9.17,0.0,20,6,5.226399218077536
