name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.3,0.7,0.9,7.242065159980281,6.4029474053088435,11.836889453004119,14.304819907764452,6.472272800000001,3.006119937853505,-0.924004,13.932671,14.856675,-4.224775599999999,2.2353313042713245,-9.376076,1.102287,10.478363,1.0,1,1
3_sample_median,1140,0.20175438596491227,0.7982456140350878,0.8859649122807017,6.708638302950208,6.0094581084726455,10.194107255270724,11.426975816756064,6.295694968421053,1.55784183008925,3.714539,10.290115,6.575576,-4.288071514035088,1.1660117907149548,-7.449562,-1.169456,6.280106,3.0,3,3
5_sample_median,15504,0.13132094943240455,0.8686790505675954,0.900670794633643,6.522508882151352,5.977410487536004,9.002213043315217,10.779138316143772,6.1449915669504644,1.1610809450735224,4.045998,10.11412,6.068122,-4.338045835784314,0.7951555810133915,-5.949295,-1.521652,4.427643,5.0,5,5
safety_pass_resampling_max3,20000,0.6865,0.3135,0.40255,4.966278102143513,5.264304564813999,6.26998909933985,6.896954033974728,4.05351636895,1.8636204223243507,-0.924004,5.16,6.084004,-3.8175810184000007,1.4944783220928661,-5.73,1.102287,6.832287000000001,2.1744,3,3
safety_pass_resampling_max5,20000,0.8728,0.12719999999999998,0.16305,4.709590704423727,5.071510384632644,6.26998909933985,6.896954033974728,3.7530397203999994,1.9979560728182626,-0.924004,5.16,6.084004,-3.7667748127000005,1.301420386700239,-5.73,1.102287,6.832287000000001,2.6875,5,5
