name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.2,0.8,1.2,4.616692155300019,3.975963221170055,8.671274025889401,10.098710824332354,5.1273516500000005,3.01328771034253,-2.183211,12.781922,14.965133,-7.080217899999999,2.303187160943958,-12.505666,-1.868123,10.637542999999999,1.0,1,1
3_sample_median,1140,0.11228070175438597,0.887719298245614,1.280701754385965,3.5988015899477035,3.3498711220907094,6.789879895885521,8.094455189618811,4.941861924561404,1.523440980023798,2.248483,9.070657,6.822174,-7.106218919298245,1.219967863435036,-10.43781,-3.944302,6.493508,3.0,3,3
5_sample_median,15504,0.06179050567595459,0.9382094943240454,1.3228844169246645,3.3872294163208987,3.2842555093449244,5.111584610377562,7.17275834426473,4.808168243292053,1.1094042637619543,2.917619,8.755777,5.838158,-7.149110374484005,0.8260788454565198,-9.196462,-4.246816,4.949646,5.0,5,5
safety_pass_resampling_max3,20000,0.51475,0.48524999999999996,0.7316,3.1035668492470316,2.493511690450071,6.505306219741958,6.505306219741958,3.3861899121000003,2.2997066731178015,-2.183211,5.16,7.343211,-4.799880803250001,1.286362394183261,-5.73,-1.868123,3.8618770000000007,2.4282,3,3
safety_pass_resampling_max5,20000,0.7192,0.28080000000000005,0.4251,3.308483687435423,2.493511690450071,6.505306219741958,6.505306219741958,2.9596831161500003,2.5384611875343093,-2.183211,5.16,7.343211,-4.46798949615,1.3669984362414902,-5.73,-1.868123,3.8618770000000007,3.2837,5,5
