name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.0,1.0,1.75,6.349088872723237,5.630327229961512,11.079299194012975,12.455808558471412,7.705675849999999,2.829568663079715,0.816232,14.817903,14.001671,-8.3609393,2.208200357965171,-13.307599,-3.19595,10.111649,1.0,1,1
3_sample_median,1140,0.0,1.0,1.9385964912280702,5.777648611236552,5.492084886556539,9.180259344603115,10.654757638252091,7.520571410526316,1.4528561334009789,5.122552,11.433969,6.311417,-8.417905226315789,1.1920913358963332,-11.718961,-5.467885,6.251076,3.0,3,3
5_sample_median,15504,0.0,1.0,1.9912280701754386,5.653110557775686,5.4541782610381,7.603961264196003,9.614817010676498,7.374443930727554,1.0747723325909153,5.501817,11.101815,5.599998,-8.47526151122291,0.820525173585297,-10.282155,-5.667912,4.614242999999999,5.0,5,5
safety_pass_resampling_max3,20000,0.0,1.0,1.7491,2.9419091270947773,2.7134650026244915,3.970037362998021,4.612489052760803,4.931381037999998,0.9657794183048687,0.816232,5.16,4.343768,-5.585507222950002,0.5554877334275121,-5.73,-3.19595,2.5340500000000006,3.0,3,3
safety_pass_resampling_max5,20000,0.0,1.0,1.74935,2.9499970431212796,2.733152777187971,4.612489052760803,4.612489052760803,4.943794479999998,0.9404656890942621,0.816232,5.16,4.343768,-5.584618335800003,0.5569784714086413,-5.73,-3.19595,2.5340500000000006,5.0,5,5
