name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.05,0.95,1.6,8.42675913334171,7.748229461207162,14.06715626841876,14.653731607674224,5.22874215,4.3103974657208735,-5.440108,15.546998,20.987106,-10.6771164,3.2203681523527465,-17.605252,-2.923741,14.681511,1.0,1,1
3_sample_median,1140,0.0,1.0,1.436842105263158,7.419154320981279,7.228800178012861,11.029551198996911,13.078684602448721,5.016806298245615,2.231224864093577,0.627504,11.645364,11.01786,-10.761961282456141,1.805954551236595,-15.214734,-6.739705,8.475029,3.0,3,3
5_sample_median,15504,0.0,1.0,1.3955108359133126,7.24204088316942,7.189563464045726,9.704461530887384,12.017967691616917,4.836718931372549,1.6576766843116115,2.364938,9.814019,7.449081,-10.820703021929825,1.3110308670340112,-13.959637,-6.905515,7.0541220000000004,5.0,5,5
safety_pass_resampling_max3,20000,0.15165,0.8483499999999999,1.42945,4.150290677434353,3.698725991905321,6.5222455117115175,10.135488461833384,3.6166066317500003,2.2842802172671663,-5.16,5.16,10.32,-5.304430822650001,1.0065526361550488,-5.73,-2.923741,2.8062590000000003,2.85005,3,3
safety_pass_resampling_max5,20000,0.2529,0.7471,1.26785,4.051582860166219,3.636140296655796,6.5222455117115175,10.135488461833384,3.6460699441000006,2.1131146813431334,-5.16,5.16,10.32,-5.020297098900001,1.2198081593874623,-5.73,-2.923741,2.8062590000000003,4.49655,5,5
