seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.469651,3.076715,-10.365239,-0.157246,0.251450,-0.152032,1,1,"elbow_flex",6.071788
1,-1.211003,10.376886,-9.359639,-0.298130,0.623873,-0.324355,2,1,"shoulder_lift;elbow_flex",8.512545
2,0.542224,-0.472571,-3.819516,-0.220188,0.409549,-0.162015,0,0,"",4.333358
3,0.673223,0.798997,-7.108510,0.461926,0.238630,0.140849,1,1,"elbow_flex",4.375880
4,-1.455203,1.948693,-6.908597,-0.132450,0.829907,0.624650,1,1,"elbow_flex",3.412141
5,-0.430573,4.177049,-7.316121,0.601849,0.582163,-0.305454,1,1,"elbow_flex",3.453995
6,0.251603,-0.424041,-5.551854,0.307488,-0.074999,-0.077909,0,0,"",4.447637
7,-0.227336,4.258470,-7.454007,0.557575,0.211179,-0.472795,1,1,"elbow_flex",3.553759
8,-0.829009,0.186502,-3.238232,0.347725,0.921082,-0.193794,0,0,"",3.921093
9,-0.092324,0.918656,-6.016469,-0.777534,0.218076,-0.503942,1,1,"elbow_flex",3.121034
10,-0.449620,5.273667,-8.444165,-0.049717,0.221523,0.146647,2,1,"shoulder_lift;elbow_flex",4.538762
11,-0.115664,1.248521,-6.266927,-0.032169,0.616980,0.301320,1,1,"elbow_flex",3.275702
12,0.274486,-4.073432,-3.191014,-0.869850,-0.222981,0.552266,0,0,"",7.820950
13,0.832660,1.514932,-5.291066,0.163361,0.616284,0.039832,0,0,"",3.025154
14,-0.943566,2.614465,-7.186368,-0.519829,0.349007,-0.159683,1,1,"elbow_flex",2.979086
15,-1.886550,6.498910,-9.285977,-0.359135,0.541208,-0.409088,2,1,"shoulder_lift;elbow_flex",5.876703
16,-1.652167,5.461213,-9.086354,0.939945,0.446930,0.445080,2,1,"shoulder_lift;elbow_flex",5.591571
17,-1.151900,1.764062,-3.816472,-1.202759,0.258690,-0.384488,0,0,"",1.923676
18,1.100970,1.740235,-6.339673,0.135609,-0.430543,0.234976,1,1,"elbow_flex",3.494268
19,0.695224,0.736467,-1.044370,-2.664856,1.176776,0.813304,1,1,"wrist_roll",5.129161
