seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.226386,2.715661,-9.049405,-0.279507,0.185940,-0.029786,1,1,"elbow_flex",5.502932
1,-1.934588,9.057778,-7.706372,-1.594593,0.220318,0.272843,2,1,"shoulder_lift;elbow_flex",6.687708
2,-0.570050,-1.086951,-3.918546,-1.093857,0.201376,0.225356,0,0,"",5.004004
3,-0.533580,0.440560,-6.895947,-0.024181,0.180468,0.304864,1,1,"elbow_flex",4.469743
4,-2.454755,0.810113,-6.218701,-0.568195,0.258023,1.137473,1,1,"elbow_flex",4.737701
5,-0.946986,2.838510,-6.238858,0.359005,0.227510,-0.441059,1,1,"elbow_flex",2.853306
6,-0.811292,-0.506690,-5.330609,-0.217110,0.008700,0.484696,0,0,"",4.695901
7,-0.988076,3.425439,-6.749310,-0.503311,0.110008,-0.101978,1,1,"elbow_flex",2.814448
8,-1.582160,0.194085,-4.321500,-0.346432,0.251423,0.306479,0,0,"",4.176280
9,-0.813930,-0.997245,-4.769437,-0.651287,0.176376,-0.314840,0,0,"",4.943341
10,-1.582311,4.245843,-6.933301,-1.221599,0.185281,0.379410,1,1,"elbow_flex",3.313337
11,-1.433188,0.826867,-6.645566,-0.355827,0.244943,0.713359,1,1,"elbow_flex",4.330606
12,-0.885112,-4.621314,-2.709988,-1.292473,0.001691,0.684144,0,0,"",8.706873
13,-0.076991,0.501763,-6.137616,-0.199978,0.238243,0.213034,1,1,"elbow_flex",3.916319
14,-1.736516,1.877984,-6.216229,-1.038708,0.202693,0.075175,1,1,"elbow_flex",3.377100
15,-2.342259,5.924661,-7.901486,-1.499775,0.231946,0.105065,2,1,"shoulder_lift;elbow_flex",4.950122
16,-2.753400,3.494439,-8.522549,0.706444,0.229802,0.636647,1,1,"elbow_flex",5.568177
17,-1.708365,1.317453,-4.023099,-1.692947,0.206433,-0.222476,0,0,"",3.245224
18,-0.254098,0.797509,-5.103726,-1.176319,-0.087509,0.560835,0,0,"",3.263275
19,-0.955508,0.843789,-2.149106,-3.833450,0.286656,1.098889,0,0,"",4.980827
