seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.362982,6.497116,-8.508476,0.691574,0.205601,0.491899,2,1,"shoulder_lift;elbow_flex",9.273752
1,0.228079,13.170433,-5.190231,-0.176971,0.310663,0.190245,1,1,"shoulder_lift",13.256047
2,0.622768,3.193909,-0.934685,0.320419,0.308491,0.843070,0,0,"",3.039850
3,0.925106,4.048515,-4.542122,1.712654,0.211972,0.830269,0,0,"",4.789318
4,-1.078796,4.950851,-3.796906,0.131401,0.415745,1.409377,0,0,"",5.397806
5,0.397137,6.536415,-3.398239,1.561398,0.235241,0.172989,1,1,"shoulder_lift",6.498700
6,0.122917,2.885597,-2.759644,1.582829,0.079362,0.573637,0,0,"",3.031691
7,-0.174061,7.517433,-3.878990,1.001579,0.151604,-0.553181,1,1,"shoulder_lift",7.576647
8,-0.062059,4.445061,-0.133873,1.017574,0.414552,0.321021,0,0,"",4.581416
9,-0.161766,4.881027,-3.724968,0.764011,0.223229,0.007030,0,0,"",4.997149
10,0.323225,8.892204,-4.600128,0.049500,0.192380,1.212606,1,1,"shoulder_lift",9.011608
11,0.193823,3.845207,-3.199402,0.716881,0.378623,1.076412,0,0,"",3.858544
12,0.044722,-1.754066,-1.724625,0.328857,0.103182,1.497248,0,0,"",2.484907
13,1.026749,4.706642,-2.795715,0.896805,0.351095,0.693348,0,0,"",4.513754
14,-0.225569,6.057518,-3.554832,-0.234688,0.263305,0.456248,1,1,"shoulder_lift",6.041570
15,-0.821772,9.494667,-4.732338,-0.338268,0.270961,0.395708,1,1,"shoulder_lift",9.717302
16,-1.638212,9.050446,-6.602089,2.188858,0.271460,1.013628,2,1,"shoulder_lift;elbow_flex",10.359464
17,-0.770388,5.779221,-0.545403,-0.670025,0.238240,-0.069679,1,1,"shoulder_lift",5.881365
18,1.610495,4.427231,-3.128128,1.174561,-0.045553,0.797075,0,0,"",4.466559
19,0.975807,5.059837,1.973175,-1.719963,0.706321,1.418243,0,0,"",6.531535
