name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.1,0.9,1.45,4.61118630804416,4.001228512132204,8.540862403685628,10.552732220079607,6.326236850000001,2.8849416993840666,-0.675019,13.673362,14.348381,-6.3837326999999995,2.1473520594394184,-11.267415,-1.445752,9.821663,1.0,1,1
3_sample_median,1140,0.03684210526315789,0.9631578947368421,1.6578947368421053,3.6659247388516945,3.268650955775465,6.751275036294684,7.979936910800395,6.152393563157895,1.4544800114052796,3.490478,10.005005,6.514527000000001,-6.4330449666666665,1.1324288804350635,-9.672612,-3.403684,6.268928000000001,3.0,3,3
5_sample_median,15504,0.012770897832817337,0.9872291021671826,1.7960526315789473,3.4434895888087365,3.205626002582208,5.066783455007548,7.137151552989913,6.021983017801857,1.0570115441736807,4.151886,9.763321,5.611434999999999,-6.483166661635706,0.7432734296698288,-8.330769,-3.631406,4.699363,5.0,5,5
safety_pass_resampling_max3,20000,0.2899,0.7101,1.14165,2.9115681152790835,2.4927564513997598,5.112349062596849,5.112349062596849,4.0511571245499995,2.0035922466533505,-0.675019,5.16,5.835019,-5.028223730400001,1.0497027992215187,-5.73,-1.445752,4.284248000000001,2.7012,3,3
safety_pass_resampling_max5,20000,0.4506,0.5494,0.8903,3.0522552922027515,2.4927564513997598,5.112349062596849,5.112349062596849,3.5296017446500003,2.320958175328267,-0.675019,5.16,5.835019,-4.9073589435,0.9631090041064069,-5.73,-1.445752,4.284248000000001,4.03445,5,5
