experiment,checkpoint_step,bucket,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg
combined65_baseline,2500,step0,6.831961631774902,8.940553665161133,7.886257648468018
combined65_baseline,2500,step1_2,6.644334316253662,9.51619815826416,8.080266237258911
combined65_baseline,2500,step3_plus,15.747241973876953,19.37606430053711,17.56165313720703
combined65_baseline,5000,step0,3.311771869659424,2.9412639141082764,3.12651789188385
combined65_baseline,5000,step1_2,2.8241524696350098,2.906879186630249,2.8655158281326294
combined65_baseline,5000,step3_plus,5.125509738922119,5.135533809661865,5.130521774291992
combined65_baseline,7500,step0,2.3176321983337402,2.0484111309051514,2.183021664619446
combined65_baseline,7500,step1_2,1.960679292678833,2.0158846378326416,1.9882819652557373
combined65_baseline,7500,step3_plus,10.015387535095215,12.411230087280273,11.213308811187744
combined65_baseline,10000,step0,2.029447555541992,1.5829658508300781,1.8062067031860352
combined65_baseline,10000,step1_2,1.8413358926773071,1.7828859090805054,1.8121109008789062
combined65_baseline,10000,step3_plus,5.897100448608398,7.753961086273193,6.825530767440796
combined65_early_weight_v1,2500,step0,7.3398942947387695,8.664463996887207,8.002179145812988
combined65_early_weight_v1,2500,step1_2,6.830801486968994,8.071321487426758,7.451061487197876
combined65_early_weight_v1,2500,step3_plus,14.507180213928223,16.440031051635742,15.473605632781982
combined65_early_weight_v1,5000,step0,3.2946858406066895,3.0754330158233643,3.185059428215027
combined65_early_weight_v1,5000,step1_2,2.5824081897735596,3.0837063789367676,2.8330572843551636
combined65_early_weight_v1,5000,step3_plus,4.6161112785339355,4.830598831176758,4.723355054855347
combined65_early_weight_v1,7500,step0,2.0704846382141113,1.7657737731933594,1.9181292057037354
combined65_early_weight_v1,7500,step1_2,2.079991102218628,1.9513013362884521,2.01564621925354
combined65_early_weight_v1,7500,step3_plus,9.823044776916504,12.041535377502441,10.932290077209473
combined65_early_weight_v1,10000,step0,1.8642857074737549,1.52153742313385,1.6929115653038025
combined65_early_weight_v1,10000,step1_2,1.9627139568328857,1.7712695598602295,1.8669917583465576
combined65_early_weight_v1,10000,step3_plus,6.510777473449707,8.337241172790527,7.424009323120117
reinforcement30_only_v1,2500,step0,5.054875373840332,5.356999397277832,5.205937385559082
reinforcement30_only_v1,2500,step1_2,4.058041572570801,4.905914783477783,4.481978178024292
reinforcement30_only_v1,2500,step3_plus,14.121703147888184,8.50677490234375,11.314239025115967
reinforcement30_only_v1,5000,step0,3.2237725257873535,2.2645256519317627,2.744149088859558
reinforcement30_only_v1,5000,step1_2,3.217941999435425,2.1306164264678955,2.67427921295166
reinforcement30_only_v1,5000,step3_plus,13.547319412231445,7.50124454498291,10.524281978607178
