seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-4.988011,6.353662,-19.828549,1.898289,0.054263,-0.044428,3,1,"shoulder_pan;shoulder_lift;elbow_flex",16.346186
1,-2.079980,16.665200,-15.436452,0.243343,0.328337,0.002050,2,1,"shoulder_lift;elbow_flex",16.918267
2,-2.006303,1.317392,-8.468648,1.242649,0.205402,0.488333,1,1,"elbow_flex",5.282401
3,-1.149207,3.749002,-14.229939,3.235386,0.069494,0.214670,1,1,"elbow_flex",10.179180
4,-5.175132,6.245546,-13.014615,1.371479,0.402740,1.847811,3,1,"shoulder_pan;shoulder_lift;elbow_flex",10.540644
5,-2.089650,7.495340,-12.384076,3.310795,0.202680,-0.393769,2,1,"shoulder_lift;elbow_flex",9.396042
6,-1.971215,3.358865,-12.481763,2.937603,-0.129657,0.158889,1,1,"elbow_flex",8.623696
7,-2.983916,9.392434,-14.705853,2.381264,0.026135,-1.064791,2,1,"shoulder_lift;elbow_flex",12.147299
8,-3.559400,5.413217,-9.364499,2.367462,0.369314,0.462165,2,1,"shoulder_lift;elbow_flex",6.658009
9,-2.687377,3.293977,-12.948506,1.878025,0.043781,-0.505169,1,1,"elbow_flex",8.987173
10,-2.286675,10.932084,-13.901509,0.790508,0.126597,0.401395,2,1,"shoulder_lift;elbow_flex",11.962018
11,-1.960010,4.011666,-13.013974,1.819580,0.331163,0.812496,1,1,"elbow_flex",8.896050
12,-3.685966,-5.081900,-9.530782,1.779919,-0.205376,1.901091,1,1,"elbow_flex",11.250133
13,-0.744193,4.380815,-10.999219,2.184181,0.278624,0.468738,1,1,"elbow_flex",6.817652
14,-3.134561,7.004396,-13.861111,0.543312,0.165514,0.037791,2,1,"shoulder_lift;elbow_flex",10.323579
15,-3.471587,12.788674,-16.273129,0.525204,0.246584,-0.008448,2,1,"shoulder_lift;elbow_flex",15.135586
16,-4.967195,10.682908,-17.286237,4.272053,0.172304,1.262478,4,1,"shoulder_pan;shoulder_lift;elbow_flex;wrist_flex",15.888364
17,-4.260665,7.209199,-8.879559,-0.586712,0.132792,-0.493900,2,1,"shoulder_lift;elbow_flex",7.053879
18,-0.047559,3.600137,-11.227750,1.956066,-0.324337,0.611088,1,1,"elbow_flex",6.912703
19,-0.888349,4.373208,-5.113889,-1.463615,0.760581,1.817127,0,0,"",3.124708
