experiment,checkpoint_step,bucket,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg,nearest_demo_episode,nearest_demo_frame,nearest_demo_l2_dist_deg
v4_fresh,2500,step0,4.821356773376465,5.0921430587768555,4.95674991607666,28,34,2.9337057008719
v4_fresh,2500,step1_2,3.352534532546997,4.397589206695557,3.875061869621277,28,34,2.9337057008719
v4_fresh,2500,step3_plus,4.523947715759277,5.1529340744018555,4.838440895080566,28,34,2.9337057008719
v4_fresh,5000,step0,3.976435422897339,2.3159451484680176,3.1461902856826782,28,34,2.9337057008719
v4_fresh,5000,step1_2,2.830547332763672,2.3383851051330566,2.5844662189483643,28,34,2.9337057008719
v4_fresh,5000,step3_plus,3.188326120376587,3.984833002090454,3.5865795612335205,28,34,2.9337057008719
v4_fresh,7500,step0,2.3750274181365967,1.896969199180603,2.1359983086586,28,34,2.9337057008719
v4_fresh,7500,step1_2,1.903705358505249,1.9612098932266235,1.9324576258659363,28,34,2.9337057008719
v4_fresh,7500,step3_plus,5.324300289154053,6.829837799072266,6.077069044113159,28,34,2.9337057008719
v4_fresh,10000,step0,2.3607349395751953,1.8415511846542358,2.1011430621147156,28,34,2.9337057008719
v4_fresh,10000,step1_2,1.9540042877197266,1.9073385000228882,1.9306713938713074,28,34,2.9337057008719
v4_fresh,10000,step3_plus,5.870582580566406,6.65869140625,6.264636993408203,28,34,2.9337057008719
