name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.45,0.55,0.8,6.852586046269721,6.21566866336281,11.527252136219104,14.076047312817733,6.00163655,3.212567227999478,-1.986984,14.007576,15.99456,-4.3345242,2.431186457574544,-9.980278,1.338631,11.318909,1.0,1,1
3_sample_median,1140,0.4605263157894737,0.5394736842105263,0.7017543859649122,6.132017925810044,5.633346085304096,9.902645602709029,11.032332933610093,5.8355889456140355,1.6348177997444162,2.983971,10.088692,7.104721,-4.396219324561403,1.2807746030173885,-7.837868,-0.989426,6.848442,3.0,3,3
5_sample_median,15504,0.47678018575851394,0.5232198142414861,0.6313209494324046,5.935057789030658,5.536849739685715,8.18414149283098,10.310779365249392,5.69263129011868,1.2103732381015482,3.366943,9.64119,6.274247,-4.45697509623323,0.8785614994851167,-6.404091,-1.340164,5.0639270000000005,5.0,5,5
safety_pass_resampling_max3,20000,0.85725,0.14275000000000004,0.20695,4.769561421360592,4.86062739492067,6.483888711334513,7.086125572708576,3.8379117079999996,2.0298691828551543,-1.986984,5.16,7.146984,-3.0657416733000002,1.9333743613168037,-5.73,1.338631,7.068631,1.83335,3,3
safety_pass_resampling_max5,20000,0.9701,0.029900000000000038,0.0434,4.617331104792381,4.7285757524341445,6.483888711334513,7.086125572708576,3.67443105,2.100571139253241,-1.986984,5.16,7.146984,-2.8196641948,1.8655479550303922,-5.73,1.338631,7.068631,2.04315,5,5
