dataset,episode,joint,n_static_frames,chunk0_abs_delta_mean_deg,chunk_mean_abs_delta_mean_deg,chunk_max_abs_delta_mean_deg,frac_static_frames_chunk_mean_exceeds_would_clamp
v3_start_coverage,0,elbow_flex,35,2.2845,9.9133,23.9987,0.7429
v3_start_coverage,1,shoulder_lift,40,0.5560,13.0462,34.2813,0.7750
v3_start_coverage,1,elbow_flex,40,1.7473,10.6430,27.2879,0.7000
v3_start_coverage,2,shoulder_lift,55,0.5866,10.1202,28.0184,0.5636
v3_start_coverage,2,elbow_flex,55,2.0004,7.6672,19.7363,0.4909
v3_start_coverage,3,shoulder_lift,28,0.6248,11.7430,31.3783,0.9286
v3_start_coverage,3,elbow_flex,28,2.3234,15.7991,37.3061,1.0000
v3_start_coverage,4,shoulder_lift,82,0.4867,5.3760,14.6213,0.3415
v3_start_coverage,4,elbow_flex,82,1.9137,5.2146,12.6229,0.2927
v3_start_coverage,5,shoulder_lift,25,0.8440,16.0904,40.0422,1.0000
v3_start_coverage,5,elbow_flex,25,2.2347,15.1590,34.6883,1.0000
v3_start_coverage,6,shoulder_lift,23,0.4396,9.0864,31.8700,0.7391
v3_start_coverage,6,elbow_flex,23,2.1997,13.3106,32.6288,1.0000
v3_start_coverage,7,shoulder_lift,64,0.4959,7.6956,21.4588,0.4688
v3_start_coverage,7,elbow_flex,64,1.8695,8.1025,20.5398,0.4688
v3_start_coverage,8,shoulder_lift,27,0.7326,12.6108,33.1070,0.9630
v3_start_coverage,8,elbow_flex,27,2.0627,8.7841,22.8295,0.7407
v3_start_coverage,9,shoulder_lift,82,0.5875,5.6964,15.1059,0.3659
v3_start_coverage,9,elbow_flex,82,1.8955,6.3590,14.8990,0.3659
v3_start_coverage,10,shoulder_lift,39,0.8340,13.3460,33.5148,0.8205
v3_start_coverage,10,elbow_flex,39,2.4131,10.6608,25.4280,0.7692
v3_start_coverage,11,shoulder_lift,27,0.7066,13.4048,33.5824,1.0000
v3_start_coverage,11,elbow_flex,27,2.2743,14.8743,35.4302,1.0000
v3_start_coverage,12,shoulder_lift,58,0.4123,8.3155,23.4164,0.5000
v3_start_coverage,12,elbow_flex,58,2.1069,7.4979,18.3873,0.4828
v3_start_coverage,13,shoulder_lift,28,0.5589,15.6398,37.2747,1.0000
v3_start_coverage,13,elbow_flex,28,2.3203,15.7380,37.2433,1.0000
v3_start_coverage,14,shoulder_lift,73,0.6792,7.2554,19.3708,0.4247
v3_start_coverage,14,elbow_flex,73,2.5067,7.4021,16.8231,0.4384
v3_start_coverage,15,shoulder_lift,69,0.3848,5.8589,15.9261,0.3913
v3_start_coverage,15,elbow_flex,69,2.2328,6.6146,15.2642,0.4058
v3_start_coverage,16,shoulder_lift,25,0.7420,14.1539,33.9798,1.0000
v3_start_coverage,16,elbow_flex,25,1.9710,11.8622,28.4993,1.0000
v3_start_coverage,17,shoulder_lift,20,0.8000,16.8914,39.0769,1.0000
v3_start_coverage,17,elbow_flex,20,1.8506,12.2074,30.4615,1.0000
v3_start_coverage,18,shoulder_lift,68,0.5818,7.1091,18.1939,0.4559
v3_start_coverage,18,elbow_flex,68,2.0026,8.5591,19.8242,0.4853
v3_start_coverage,19,shoulder_lift,38,0.5876,12.0853,31.7016,0.7895
v3_start_coverage,19,elbow_flex,38,2.5633,15.6170,36.3239,0.9211
v3_start_coverage,20,shoulder_lift,69,0.5249,8.8025,24.0548,0.4783
v3_start_coverage,20,elbow_flex,69,1.5907,8.1474,20.9836,0.4493
v3_start_coverage,21,shoulder_lift,21,0.6405,15.4899,36.1654,1.0000
v3_start_coverage,21,elbow_flex,21,1.7771,19.0976,44.7787,1.0000
v3_start_coverage,22,shoulder_lift,32,0.4753,10.5881,33.5632,0.7500
v3_start_coverage,22,elbow_flex,32,2.2225,13.3111,33.9451,0.9062
v3_start_coverage,23,shoulder_lift,52,0.2705,9.6874,27.2663,0.5962
v3_start_coverage,23,elbow_flex,52,2.4886,12.7967,32.5765,0.6731
v3_start_coverage,24,shoulder_lift,18,0.7863,18.6179,43.0281,1.0000
v3_start_coverage,24,elbow_flex,18,2.1880,19.4049,43.5067,1.0000
v3_start_coverage,25,shoulder_lift,77,0.5012,4.9775,13.9735,0.3377
v3_start_coverage,25,elbow_flex,77,1.8056,7.5843,18.8138,0.4026
v3_start_coverage,26,shoulder_lift,50,0.3288,11.6223,31.8541,0.6400
v3_start_coverage,26,elbow_flex,50,2.2154,13.3214,33.7336,0.7000
v3_start_coverage,27,shoulder_lift,18,0.7570,15.0486,31.9853,1.0000
v3_start_coverage,27,elbow_flex,18,2.5299,19.6437,41.0989,1.0000
v3_start_coverage,28,shoulder_lift,50,0.4800,10.3188,26.9697,0.6400
v3_start_coverage,28,elbow_flex,50,2.1574,9.1714,23.8154,0.5600
v3_start_coverage,29,shoulder_lift,35,0.5074,5.8895,21.1617,0.4857
v3_start_coverage,29,elbow_flex,35,1.8575,11.6661,32.5790,0.7714
