dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,9,gripper,25,0.2384,0.2384,0.2384,0.2384,9.17,0.0000
v2_clean,10,shoulder_pan,32,0.7610,0.8791,0.8791,0.8791,4.58,0.0000
v2_clean,10,shoulder_lift,32,0.5220,0.3516,1.5297,3.3407,5.16,0.0000
v2_clean,10,elbow_flex,32,2.2445,1.9780,3.4769,4.7033,5.73,0.0000
v2_clean,10,wrist_flex,32,0.9560,1.0989,1.0989,1.0989,4.01,0.0000
v2_clean,10,wrist_roll,32,0.1841,0.1758,0.3516,0.3516,1.15,0.0000
v2_clean,10,gripper,32,0.2916,0.3059,0.3769,0.3769,9.17,0.0000
v2_clean,11,shoulder_pan,29,0.7033,0.7033,0.7033,0.7033,4.58,0.0000
v2_clean,11,shoulder_lift,29,0.5881,0.2637,2.8659,3.8681,5.16,0.0000
v2_clean,11,elbow_flex,29,2.1963,1.9780,3.2967,4.0000,5.73,0.0000
v2_clean,11,wrist_flex,29,0.2925,0.3077,0.3077,0.3077,4.01,0.0000
v2_clean,11,wrist_roll,29,0.0879,0.0879,0.0879,0.0879,1.15,0.0000
v2_clean,11,gripper,29,0.2234,0.0734,1.0449,1.2128,9.17,0.0000
v2_clean,12,shoulder_pan,30,0.6095,0.7033,0.7033,0.7033,4.58,0.0000
v2_clean,12,shoulder_lift,30,0.4806,0.3517,0.9363,1.9341,5.16,0.0000
v2_clean,12,elbow_flex,30,1.9985,1.7143,2.8835,4.0000,5.73,0.0000
v2_clean,12,wrist_flex,30,0.8703,1.0110,1.1868,1.1868,4.01,0.0000
v2_clean,12,wrist_roll,30,0.2872,0.2637,0.3516,0.3516,1.15,0.0000
v2_clean,12,gripper,30,0.2628,0.2486,0.3196,0.3196,9.17,0.0000
v2_clean,13,shoulder_pan,34,1.0524,1.1429,1.1429,1.1429,4.58,0.0000
v2_clean,13,shoulder_lift,34,0.5507,0.4396,0.8528,1.6703,5.16,0.0000
v2_clean,13,elbow_flex,34,2.1564,1.8901,3.7802,4.9670,5.73,0.0000
v2_clean,13,wrist_flex,34,1.1067,1.1868,1.1868,1.1868,4.01,0.0000
v2_clean,13,wrist_roll,34,0.2767,0.2637,0.3516,0.3516,1.15,0.0000
v2_clean,13,gripper,34,0.1386,0.1533,0.1533,0.1533,9.17,0.0000
v2_clean,14,shoulder_pan,25,0.8721,0.8791,0.8791,0.8791,4.58,0.0000
v2_clean,14,shoulder_lift,25,0.4185,0.3516,0.6154,0.6154,5.16,0.0000
v2_clean,14,elbow_flex,25,2.3156,1.8022,4.2813,4.5275,5.73,0.0000
v2_clean,14,wrist_flex,25,0.4554,0.5714,0.5714,0.5714,4.01,0.0000
v2_clean,14,wrist_roll,25,0.5345,0.5275,0.5275,0.7033,1.15,0.0000
v2_clean,14,gripper,25,0.1576,0.1576,0.1576,0.1576,9.17,0.0000
v2_clean,15,shoulder_pan,29,0.9519,0.9670,0.9670,0.9670,4.58,0.0000
v2_clean,15,shoulder_lift,29,0.5760,0.4396,2.1802,2.6374,5.16,0.0000
v2_clean,15,elbow_flex,29,2.5479,2.2418,3.6132,4.2637,5.73,0.0000
v2_clean,15,wrist_flex,29,0.6442,0.7473,0.7473,0.7473,4.01,0.0000
v2_clean,15,wrist_roll,29,0.4396,0.4396,0.4396,0.4396,1.15,0.0000
v2_clean,15,gripper,29,0.3827,0.3827,0.3827,0.3827,9.17,0.0000
v2_clean,16,shoulder_pan,29,0.9367,0.9670,0.9670,0.9670,4.58,0.0000
v2_clean,16,shoulder_lift,29,0.6639,0.4396,2.4440,3.3407,5.16,0.0000
v2_clean,16,elbow_flex,29,2.3630,2.2418,3.5077,3.7363,5.73,0.0000
v2_clean,16,wrist_flex,29,0.3410,0.3077,0.3956,0.3956,4.01,0.0000
v2_clean,16,wrist_roll,29,0.1425,0.0879,0.2637,0.2637,1.15,0.0000
v2_clean,16,gripper,29,0.2305,0.2305,0.2305,0.2305,9.17,0.0000
v2_clean,17,shoulder_pan,24,0.5421,0.5275,0.6154,0.6154,4.58,0.0000
v2_clean,17,shoulder_lift,24,0.7656,0.4396,3.1297,4.3077,5.16,0.0000
v2_clean,17,elbow_flex,24,2.3150,2.0659,3.7187,4.1758,5.73,0.0000
v2_clean,17,wrist_flex,24,0.3956,0.3956,0.3956,0.3956,4.01,0.0000
v2_clean,17,wrist_roll,24,0.2601,0.2637,0.3385,0.3516,1.15,0.0000
v2_clean,17,gripper,24,0.2565,0.2565,0.2565,0.2565,9.17,0.0000
v2_clean,18,shoulder_pan,24,0.4469,0.6154,0.6154,0.6154,4.58,0.0000
v2_clean,18,shoulder_lift,24,0.5348,0.2637,2.1275,3.3407,5.16,0.0000
v2_clean,18,elbow_flex,24,0.8095,0.6154,2.0484,3.0330,5.73,0.0000
v2_clean,18,wrist_flex,24,0.6557,0.7912,0.8352,0.8352,4.01,0.0000
v2_clean,18,wrist_roll,24,0.0733,0.0879,0.0879,0.0879,1.15,0.0000
v2_clean,18,gripper,24,0.1145,0.1145,0.1145,0.1145,9.17,0.0000
v2_clean,19,shoulder_pan,26,0.4531,0.3516,0.7912,0.7912,4.58,0.0000
v2_clean,19,shoulder_lift,26,0.6661,0.3956,2.3077,3.4286,5.16,0.0000
v2_clean,19,elbow_flex,26,2.1437,1.9341,3.5385,4.7033,5.73,0.0000
v2_clean,19,wrist_flex,26,0.2874,0.3077,0.3956,0.4835,4.01,0.0000
v2_clean,19,wrist_roll,26,0.1623,0.0879,0.2637,0.2637,1.15,0.0000
v2_clean,19,gripper,26,0.1067,0.1067,0.1067,0.1067,9.17,0.0000
v2_clean,20,shoulder_pan,24,0.7033,0.7033,0.7033,0.7033,4.58,0.0000
v2_clean,20,shoulder_lift,24,0.5165,0.4396,1.3758,2.4615,5.16,0.0000
v2_clean,20,elbow_flex,24,2.6923,2.3297,4.1978,4.5275,5.73,0.0000
v2_clean,20,wrist_flex,24,0.1575,0.1319,0.2198,0.2198,4.01,0.0000
v2_clean,20,wrist_roll,24,0.1758,0.1758,0.1758,0.1758,1.15,0.0000
v2_clean,20,gripper,24,0.2976,0.2976,0.2976,0.2976,9.17,0.0000
v2_clean,21,shoulder_pan,20,0.9187,0.9670,0.9670,0.9670,4.58,0.0000
v2_clean,21,shoulder_lift,20,0.6857,0.4396,2.5802,3.1648,5.16,0.0000
v2_clean,21,elbow_flex,20,2.7780,2.4176,4.8132,5.2308,5.73,0.0000
v2_clean,21,wrist_flex,20,0.1714,0.2198,0.3077,0.3077,4.01,0.0000
v2_clean,21,wrist_roll,20,0.1934,0.2198,0.2637,0.2637,1.15,0.0000
v2_clean,21,gripper,20,0.2525,0.2525,0.2525,0.2525,9.17,0.0000
v2_clean,22,shoulder_pan,24,0.6960,0.7033,0.7033,0.7033,4.58,0.0000
v2_clean,22,shoulder_lift,24,0.8205,0.5275,3.3055,4.6593,5.16,0.0000
v2_clean,22,elbow_flex,24,2.7216,2.2418,5.0989,6.0220,5.73,0.0417
