name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.55,0.44999999999999996,0.55,6.679655676531349,5.79736024414791,10.808548098928856,14.058817625586116,5.88442,3.1932911028328124,-2.055595,13.913666,15.969261,-3.022364,2.366213716384638,-8.486427,2.642067,11.128494,1.0,1,1
3_sample_median,1140,0.5789473684210527,0.42105263157894735,0.4368421052631579,5.913438682186224,5.309702062654692,9.436941321632768,10.377619067271569,5.701734470175439,1.6135358863009055,2.967964,9.989761,7.021796999999999,-3.090957257894737,1.2432390620215923,-6.309067,0.168327,6.477393999999999,3.0,3,3
5_sample_median,15504,0.6044891640866873,0.3955108359133127,0.3955108359133127,5.68480253426052,5.171425458177772,8.178831443188981,9.903567314856165,5.55078140492776,1.1951808446282741,3.403534,9.561584,6.158049999999999,-3.144005565789474,0.8630496880905288,-4.928391,-0.196526,4.731865,5.0,5,5
safety_pass_resampling_max3,20000,0.92665,0.07335000000000003,0.08875,4.825280624906187,4.981156454009792,7.519355920761373,7.519355920761373,3.83253233865,1.9186926688941408,-2.055595,5.16,7.215595,-2.0468985750999997,1.967450660094273,-5.73,2.642067,8.372067000000001,1.63815,3,3
safety_pass_resampling_max5,20000,0.99215,0.007850000000000024,0.0094,4.75863778092603,4.981156454009792,7.519355920761373,7.519355920761373,3.7386556521000007,1.9490824328447123,-2.055595,5.16,7.215595,-1.91522030485,1.9138642948865188,-5.73,2.642067,8.372067000000001,1.7374,5,5
