seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-0.280505,6.673043,-13.805600,0.418770,0.449878,1.509644,2,1,"shoulder_lift;elbow_flex",9.809073
1,0.691350,14.138879,-8.342374,-1.559963,0.513678,0.893615,2,1,"shoulder_lift;elbow_flex",11.164703
2,2.777095,2.098359,-3.079129,-0.273144,0.430952,0.948044,0,0,"",3.792473
3,2.836274,3.730661,-8.270268,1.649895,0.415413,1.126811,1,1,"elbow_flex",4.985115
4,-1.340926,4.807016,-7.425725,0.145077,0.597139,2.947803,1,1,"elbow_flex",4.716315
5,1.923512,7.540994,-6.680928,1.625530,0.493643,-0.111949,2,1,"shoulder_lift;elbow_flex",4.813430
6,1.799691,2.778085,-6.205853,1.323017,0.232480,0.920845,1,1,"elbow_flex",3.036125
7,1.283034,8.171777,-8.279744,0.867375,0.330184,-0.323753,2,1,"shoulder_lift;elbow_flex",5.811112
8,0.740561,2.905725,-1.873486,0.008667,0.614068,1.447567,0,0,"",3.525663
9,1.325141,2.988519,-6.129124,0.264816,0.398352,0.155411,1,1,"elbow_flex",2.202730
10,1.641250,9.057115,-7.511388,-0.761803,0.431421,1.445578,2,1,"shoulder_lift;elbow_flex",6.466519
11,1.055886,2.988702,-6.354482,0.106388,0.523638,1.611492,1,1,"elbow_flex",2.948876
12,1.728135,-2.742492,-3.591664,-0.556297,0.137452,2.436367,0,0,"",7.444270
13,3.487840,4.241677,-4.681401,0.721439,0.521314,1.141044,0,0,"",3.724965
14,1.075385,5.320260,-7.093373,-1.308678,0.398329,1.053336,2,1,"shoulder_lift;elbow_flex",3.677126
15,-0.824584,10.385713,-8.823109,-1.333279,0.471953,0.946062,2,1,"shoulder_lift;elbow_flex",8.094256
16,-1.277949,10.978601,-11.188268,2.597057,0.500290,1.871519,2,1,"shoulder_lift;elbow_flex",10.328701
17,0.162395,4.381631,-3.193684,-2.274868,0.394396,0.452735,0,0,"",3.056226
18,3.861831,1.800729,-4.369412,-0.286423,0.066236,1.537396,0,0,"",4.653706
19,2.408317,2.003900,1.162662,-4.440067,0.760008,2.404183,1,1,"wrist_flex",8.468058
