seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.691912,6.826569,-9.980278,0.814423,0.190801,0.749663,2,1,"shoulder_lift;elbow_flex",10.343323
1,-1.018519,14.007576,-6.404091,-0.078560,0.301608,0.466860,2,1,"shoulder_lift;elbow_flex",14.076047
2,-0.540909,3.366943,-1.873703,0.483215,0.297662,1.127140,0,0,"",3.256299
3,-0.326273,4.254425,-5.807045,1.918793,0.190300,1.153688,1,1,"elbow_flex",5.567093
4,-2.472107,5.178436,-4.878242,0.263714,0.411912,1.761443,1,1,"shoulder_lift",6.233311
5,-0.760005,7.056450,-4.341827,1.773323,0.222992,0.412067,1,1,"shoulder_lift",7.049414
6,-0.973713,2.983971,-3.701363,1.740410,0.050811,0.859934,0,0,"",3.577583
7,-1.448100,8.055389,-4.921242,1.177231,0.130645,-0.358515,1,1,"shoulder_lift",8.112849
8,-1.371455,4.809723,-0.989426,1.131184,0.420092,0.660910,0,0,"",4.891135
9,-1.408974,5.002579,-4.765968,0.868496,0.211469,0.250741,0,0,"",5.348785
10,-0.917967,9.496185,-5.753456,0.175125,0.174951,1.491997,2,1,"shoulder_lift;elbow_flex",9.752376
11,-0.986948,3.985931,-4.405304,0.851974,0.370587,1.371487,0,0,"",4.532459
12,-1.011818,-1.986984,-2.616791,0.450722,0.081331,1.881279,0,0,"",3.636756
13,-0.068436,4.952370,-3.762154,1.061668,0.343509,0.990702,0,0,"",4.860627
14,-1.491587,6.378044,-4.757027,-0.214211,0.250158,0.809224,1,1,"shoulder_lift",6.583435
15,-2.081786,10.088692,-5.886391,-0.294151,0.260089,0.665790,2,1,"shoulder_lift;elbow_flex",10.426633
16,-2.989220,9.641190,-7.837868,2.419971,0.263829,1.313941,2,1,"shoulder_lift;elbow_flex",11.393105
17,-2.045559,6.232635,-1.340164,-0.665382,0.222162,0.191611,1,1,"shoulder_lift",6.198027
18,0.618125,4.603661,-4.006775,1.258850,-0.073414,1.151285,0,0,"",4.728575
19,-0.135645,5.098946,1.338631,-1.771103,0.722764,1.737884,0,0,"",6.483888
