seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.535594,6.005593,-12.636426,0.857464,0.231519,-0.182346,2,1,"shoulder_lift;elbow_flex",8.762744
1,-0.922442,12.154649,-10.748959,0.237873,0.353000,-0.734243,2,1,"shoulder_lift;elbow_flex",10.385490
2,-0.656268,3.638078,-6.570622,0.661606,0.319770,0.290693,1,1,"elbow_flex",2.303152
3,-0.790730,3.815438,-8.968594,1.683006,0.245433,0.049317,1,1,"elbow_flex",4.719864
4,-2.067281,4.782579,-9.093793,0.446537,0.420672,0.539781,1,1,"elbow_flex",5.193827
5,-0.839786,6.024285,-9.026776,1.663998,0.302792,-0.371293,2,1,"shoulder_lift;elbow_flex",5.232756
6,-1.324811,2.976709,-8.057683,1.584511,0.153676,-0.090317,1,1,"elbow_flex",4.107342
7,-1.418303,7.053949,-9.294629,1.429894,0.238683,-0.910573,2,1,"shoulder_lift;elbow_flex",6.041854
8,-1.234191,4.850671,-6.809064,1.219029,0.410103,-0.236142,1,1,"elbow_flex",3.003259
9,-1.488584,4.265252,-8.571606,0.781162,0.257533,-0.533422,1,1,"elbow_flex",4.365662
10,-0.944678,7.609620,-9.537679,0.331692,0.217650,0.282898,2,1,"shoulder_lift;elbow_flex",6.320958
11,-0.985404,4.170495,-8.493413,1.020947,0.388262,0.361063,1,1,"elbow_flex",4.220609
12,-1.134679,0.418580,-7.303189,0.659619,0.154646,0.773022,1,1,"elbow_flex",4.721383
13,-0.374598,4.253053,-8.052060,1.037014,0.389055,0.049977,1,1,"elbow_flex",3.646267
14,-1.261645,5.728845,-8.744359,0.073895,0.270963,-0.198572,2,1,"shoulder_lift;elbow_flex",4.768878
15,-1.654620,9.074914,-10.328587,0.075710,0.299509,-0.450636,2,1,"shoulder_lift;elbow_flex",7.955460
16,-2.739917,8.404649,-11.899205,2.402321,0.341264,0.314206,2,1,"shoulder_lift;elbow_flex",9.353473
17,-1.523467,5.236032,-6.921758,-0.159725,0.251483,-0.478802,2,1,"shoulder_lift;elbow_flex",3.219012
18,-0.236491,4.350114,-8.386823,1.418903,0.067972,-0.171441,1,1,"elbow_flex",4.013823
19,-0.625398,5.178384,-5.176442,-0.811588,0.661272,0.516875,1,1,"shoulder_lift",2.236398
