frame_index,time_s,joint,mean_delta,median_delta,mean_abs_delta,median_abs_delta,p95_abs_delta,max_abs_delta
10,0.3333,shoulder_pan,-0.2738,-0.5275,0.6706,0.7033,1.0813,1.1429
10,0.3333,shoulder_lift,0.2035,0.3516,0.3943,0.3516,0.7033,0.7912
10,0.3333,elbow_flex,-1.9303,-1.9780,1.9303,1.9780,2.3560,2.5055
10,0.3333,wrist_flex,-0.4232,-0.5714,0.5965,0.5714,1.1253,1.1868
10,0.3333,wrist_roll,0.1733,0.2637,0.2286,0.2637,0.5275,0.5275
10,0.3333,gripper,-0.0415,-0.0734,0.2824,0.3015,0.4742,0.5129
11,0.3667,shoulder_pan,-0.2763,-0.5275,0.6681,0.7033,1.0813,1.1429
11,0.3667,shoulder_lift,0.2311,0.3516,0.4220,0.4396,0.7912,1.3187
11,0.3667,elbow_flex,-1.9579,-1.9780,1.9579,1.9780,2.4176,2.5934
11,0.3667,wrist_flex,-0.4132,-0.5714,0.5890,0.5714,1.1253,1.1868
11,0.3667,wrist_roll,0.1683,0.2637,0.2235,0.2637,0.5275,0.5275
11,0.3667,gripper,-0.0395,-0.0734,0.2804,0.3015,0.4576,0.5129
12,0.4000,shoulder_pan,-0.2788,-0.5275,0.6706,0.7033,1.0813,1.1429
12,0.4000,shoulder_lift,0.2914,0.3516,0.4622,0.4396,0.8176,2.3736
12,0.4000,elbow_flex,-2.0182,-1.9780,2.0182,1.9780,2.4703,3.2088
12,0.4000,wrist_flex,-0.3931,-0.5714,0.5940,0.5714,1.1253,1.1868
12,0.4000,wrist_roll,0.1608,0.1758,0.2160,0.2637,0.5275,0.5275
12,0.4000,gripper,-0.0376,-0.0734,0.2785,0.3015,0.4576,0.5129
13,0.4333,shoulder_pan,-0.2788,-0.5275,0.6706,0.7033,1.0813,1.1429
13,0.4333,shoulder_lift,0.3466,0.3516,0.5174,0.4396,0.8176,3.6044
13,0.4333,elbow_flex,-2.0835,-1.9780,2.0835,1.9780,2.6989,3.8242
13,0.4333,wrist_flex,-0.3680,-0.4835,0.5940,0.4835,1.1253,1.1868
13,0.4333,wrist_roll,0.1507,0.1758,0.2060,0.1758,0.5275,0.5275
13,0.4333,gripper,-0.0416,-0.0734,0.2785,0.2976,0.4576,0.5839
14,0.4667,shoulder_pan,-0.2738,-0.5275,0.6656,0.7033,1.0813,1.1429
14,0.4667,shoulder_lift,0.3943,0.3516,0.5551,0.4396,0.9055,4.2198
14,0.4667,elbow_flex,-2.1438,-1.9780,2.1438,1.9780,3.0330,4.2637
14,0.4667,wrist_flex,-0.3604,-0.4835,0.5915,0.4835,1.1868,1.1868
14,0.4667,wrist_roll,0.1482,0.1758,0.2135,0.1758,0.5275,0.5275
14,0.4667,gripper,-0.0396,-0.0734,0.2765,0.2976,0.4576,0.5149
