name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.1,0.9,1.4,4.772756720745489,4.123388364593971,9.030747443526312,11.115450196582843,6.2690963,3.064247474393103,-1.139441,14.141313,15.280754,-6.7332320999999995,2.2699204504422594,-12.05251,-1.50314,10.54937,1.0,1,1
3_sample_median,1140,0.042105263157894736,0.9578947368421052,1.5894736842105264,3.7756527543618894,3.3743503193955853,7.0075255715675455,8.449760170519555,6.075610642105263,1.5473063097865505,3.336625,10.204896,6.868271,-6.772510175438596,1.1947781682216074,-10.028531,-3.644261,6.384269999999999,3.0,3,3
5_sample_median,15504,0.01644736842105263,0.9835526315789473,1.7205882352941178,3.5549907542737986,3.319760504939765,5.455262346862196,7.581041777845038,5.934902158281734,1.1386774523703682,3.992318,9.823869,5.831551,-6.818854853070176,0.8095556732599566,-8.728803,-3.984349,4.744453999999999,5.0,5,5
safety_pass_resampling_max3,20000,0.2899,0.7101,1.10605,2.8821174268594634,2.421118566079744,5.425390862069974,5.425390862069974,3.9242068145499993,2.1524409928595043,-1.139441,5.16,6.299441,-5.121470735950001,0.9816488244433472,-5.73,-1.50314,4.22686,2.7012,3,3
safety_pass_resampling_max5,20000,0.4506,0.5494,0.86015,3.0176569711516805,2.421118566079744,5.425390862069974,5.425390862069974,3.36178143055,2.4898975925491293,-1.139441,5.16,6.299441,-5.032815017250002,0.8950815156082002,-5.73,-1.50314,4.22686,4.03445,5,5
