seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-3.144727,6.142411,-13.486150,0.543675,0.229482,0.117380,2,1,"shoulder_lift;elbow_flex",9.761515
1,-1.496724,12.135179,-11.515576,-0.123943,0.335973,-0.489997,2,1,"shoulder_lift;elbow_flex",10.912396
2,-1.114802,3.515359,-7.129941,0.323643,0.317846,0.474294,1,1,"elbow_flex",2.986962
3,-1.232358,3.868592,-9.671834,1.398220,0.245564,0.286859,1,1,"elbow_flex",5.424088
4,-2.660348,4.996202,-9.741063,0.099369,0.412742,0.815777,1,1,"elbow_flex",6.094888
5,-1.443034,5.885286,-9.685307,1.358940,0.290457,-0.127768,2,1,"shoulder_lift;elbow_flex",5.819977
6,-1.768098,2.958894,-8.649854,1.264141,0.150105,0.190491,1,1,"elbow_flex",4.721439
7,-1.869111,7.003305,-9.937924,1.094311,0.234056,-0.648318,2,1,"shoulder_lift;elbow_flex",6.581470
8,-1.669818,4.724710,-7.495671,0.849228,0.405095,-0.031114,1,1,"elbow_flex",3.627642
9,-1.925630,4.211038,-9.210973,0.416317,0.249346,-0.294793,1,1,"elbow_flex",5.079979
10,-1.459899,7.650094,-10.240704,-0.003109,0.208489,0.518636,2,1,"shoulder_lift;elbow_flex",7.033244
11,-1.525329,4.201074,-9.071919,0.713818,0.387768,0.592365,1,1,"elbow_flex",4.916406
12,-1.696477,0.095781,-7.760907,0.290241,0.150760,0.963926,1,1,"elbow_flex",5.417083
13,-0.886216,4.198190,-8.721845,0.641346,0.371114,0.305341,1,1,"elbow_flex",4.345260
14,-1.725312,5.776139,-9.483685,-0.287777,0.270311,-0.040278,2,1,"shoulder_lift;elbow_flex",5.605374
15,-2.319861,9.029718,-11.006177,-0.243873,0.289708,-0.247918,2,1,"shoulder_lift;elbow_flex",8.606722
16,-3.417148,8.462381,-12.675870,2.160648,0.320256,0.614485,2,1,"shoulder_lift;elbow_flex",10.188118
17,-1.912473,5.187043,-7.334729,-0.563091,0.250234,-0.295464,2,1,"shoulder_lift;elbow_flex",3.771374
18,-0.650176,4.230828,-8.878049,1.083126,0.052963,0.104189,1,1,"elbow_flex",4.464368
19,-1.084928,4.818734,-5.689221,-1.205120,0.638832,0.666029,0,0,"",2.679569
