name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.05,0.95,1.35,5.298287140581082,4.86406490071133,9.32257242778939,10.337960443951975,5.330906,2.463321705256177,0.079744,12.016832,11.937088000000001,-8.76773185,1.733377410315084,-12.424451,-5.076848,7.347602999999999,1.0,1,1
3_sample_median,1140,0.0,1.0,1.343859649122807,4.7955158077757885,4.592133701991184,7.600673224383351,8.95917058746966,5.108585845614035,1.2513390428462572,2.79091,8.942956,6.152046,-8.730182975438597,0.9839012599896159,-11.911565,-6.522916,5.388648999999999,3.0,3,3
5_sample_median,15504,0.0,1.0,1.2961816305469556,4.683838985000573,4.599542550425529,6.330942341398724,7.952385335260526,5.000845845459236,0.8998553968673751,3.358644,8.157678,4.799034000000001,-8.720300798503612,0.6535690547524411,-10.829167,-6.820439,4.008728,5.0,5,5
safety_pass_resampling_max3,20000,0.15165,0.8483499999999999,1.21035,2.556179819800426,2.3151797312824742,4.1465188371218495,4.46011523188636,4.4137055726,1.1587331101075098,0.079744,5.16,5.080256,-5.630949499200002,0.23427341076142397,-5.73,-5.076848,0.6531520000000004,2.85005,3,3
safety_pass_resampling_max5,20000,0.2529,0.7471,1.06775,2.534941397713465,2.3151797312824742,4.1465188371218495,4.46011523188636,4.4912376477,1.0883454816490516,0.079744,5.16,5.080256,-5.5648178592000015,0.2839082703771249,-5.73,-5.076848,0.6531520000000004,4.49655,5,5
