seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-6.464972,5.165338,-14.973737,-0.083588,0.355690,1.674532,3,1,"shoulder_pan;shoulder_lift;elbow_flex",12.543984
1,-5.143959,15.574250,-2.612828,-4.029518,0.606943,0.585180,3,1,"shoulder_pan;shoulder_lift;wrist_flex",13.737001
2,-3.679704,-6.973212,7.651668,-2.600616,0.431245,1.784903,2,1,"shoulder_lift;elbow_flex",17.191325
3,-2.817191,-2.357566,-3.910779,1.770298,0.315276,2.203377,0,0,"",7.560146
4,-9.649150,-0.821265,1.282306,-2.373569,0.744896,3.290500,1,1,"shoulder_pan",13.182157
5,-4.131075,5.793924,1.852283,1.828629,0.546289,-0.794231,1,1,"shoulder_lift",8.203832
6,-1.963414,-3.566283,1.213794,0.799900,0.102636,1.269917,0,0,"",9.835231
7,-5.228227,6.640176,-2.013257,0.047726,0.221028,-0.759130,2,1,"shoulder_pan;shoulder_lift",6.631412
8,-6.452955,-3.933761,9.459819,-1.668522,0.749292,0.824216,2,1,"shoulder_pan;elbow_flex",17.564195
9,-4.139455,-3.224913,0.673801,-0.868709,0.309823,-0.112123,0,0,"",9.914394
10,-4.576299,7.355630,-0.644208,-3.217037,0.326677,2.748550,1,1,"shoulder_lift",8.480847
11,-3.862834,-3.493667,0.592090,-1.123669,0.638970,2.449360,0,0,"",10.374765
12,-5.488212,-20.160041,7.046573,-3.426266,-0.207158,4.390038,3,1,"shoulder_pan;shoulder_lift;elbow_flex",27.945346
13,0.375663,-1.288337,4.650500,-0.531078,0.614937,0.946632,0,0,"",10.730880
14,-6.366281,0.762262,-1.052815,-4.048214,0.290545,2.307982,2,1,"shoulder_pan;wrist_flex",9.508466
15,-6.034768,8.783990,-2.649518,-4.109714,0.507965,0.667492,3,1,"shoulder_pan;shoulder_lift;wrist_flex",9.310189
16,-7.843748,9.561097,-5.368405,2.665917,0.564309,1.748530,2,1,"shoulder_pan;shoulder_lift",10.391570
17,-7.471778,1.111520,7.337894,-6.007572,0.357556,-0.224658,3,1,"shoulder_pan;elbow_flex;wrist_flex",15.746535
18,-2.596690,-5.683242,4.150249,-2.635876,-0.372815,2.620289,1,1,"shoulder_lift",13.879561
19,-3.754672,-9.674804,19.870494,-10.937981,1.177360,3.624264,4,1,"shoulder_lift;elbow_flex;wrist_flex;wrist_roll",30.660791
