name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.0,1.0,1.8,6.801432617465833,6.352368002547442,11.470120724270794,12.57233084593505,7.340543000000001,2.7821309599890696,0.605905,14.330262,13.724357,-9.357500049999999,2.175331730339547,-14.250478,-4.213322,10.037156,1.0,1,1
3_sample_median,1140,0.0,1.0,1.9543859649122808,6.325877219907495,6.165218019708796,9.631391967161425,11.061969364897843,7.168985812280702,1.4388772740236224,4.703859,10.986909,6.283050000000001,-9.408380031578947,1.1627094420975617,-12.660374,-6.536076,6.124297999999999,3.0,3,3
5_sample_median,15504,0.0,1.0,1.9912280701754386,6.2348289358422875,6.145346157945698,8.122910845260973,9.98776464003312,7.036443272187822,1.0750426605165295,5.155534,10.66475,5.5092159999999994,-9.458225321594428,0.8020390892415997,-11.310819,-6.766301,4.544518,5.0,5,5
safety_pass_resampling_max3,20000,0.0,1.0,1.79425,3.00949618444644,2.794485239243956,4.196412877478099,4.715043214128979,4.899210802449999,1.0124328435091163,0.605905,5.16,4.554095,-5.653028591500003,0.33289073909390937,-5.73,-4.213322,1.5166780000000006,3.0,3,3
safety_pass_resampling_max5,20000,0.0,1.0,1.804,3.017386273806125,2.7977648702212483,4.715043214128979,4.715043214128979,4.912628635899999,0.986175905189402,0.605905,5.16,4.554095,-5.652573588100002,0.33382044018897317,-5.73,-4.213322,1.5166780000000006,5.0,5,5
