seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.546725,6.746461,-12.824437,0.873043,0.221456,0.092322,2,1,"shoulder_lift;elbow_flex",9.153106
1,-0.994771,12.814309,-11.273549,0.233338,0.338686,-0.462375,2,1,"shoulder_lift;elbow_flex",11.222193
2,-0.727090,4.285630,-7.088460,0.689377,0.320067,0.555074,1,1,"elbow_flex",2.874213
3,-0.858138,4.527711,-9.382298,1.712647,0.237802,0.310888,1,1,"elbow_flex",5.192523
4,-2.010318,5.576142,-9.533643,0.449589,0.415813,0.816963,2,1,"shoulder_lift;elbow_flex",5.786929
5,-0.922660,6.663682,-9.633153,1.681851,0.288169,-0.092828,2,1,"shoulder_lift;elbow_flex",6.044103
6,-1.428340,3.683824,-8.685223,1.637062,0.151157,0.193742,1,1,"elbow_flex",4.637052
7,-1.427285,7.849221,-9.776700,1.426205,0.238917,-0.638163,2,1,"shoulder_lift;elbow_flex",6.835258
8,-1.237874,5.522538,-7.352101,1.213596,0.400084,0.040408,2,1,"shoulder_lift;elbow_flex",3.685384
9,-1.540858,4.986291,-9.071248,0.804546,0.252527,-0.283941,1,1,"elbow_flex",4.950884
10,-1.069589,8.347116,-10.091809,0.328571,0.209135,0.567315,2,1,"shoulder_lift;elbow_flex",7.245258
11,-1.123315,4.893937,-8.817006,1.053738,0.380424,0.652468,1,1,"elbow_flex",4.717754
12,-1.244555,1.256112,-7.918851,0.757565,0.159074,0.961541,1,1,"elbow_flex",4.663638
13,-0.540425,4.924714,-8.609120,1.035488,0.371612,0.329181,1,1,"elbow_flex",4.345031
14,-1.328780,6.476014,-9.230588,0.110607,0.268993,0.052012,2,1,"shoulder_lift;elbow_flex",5.535688
15,-1.729583,9.692842,-10.783025,0.100147,0.287661,-0.194417,2,1,"shoulder_lift;elbow_flex",8.704549
16,-2.678193,9.016961,-12.292394,2.361168,0.327337,0.583568,2,1,"shoulder_lift;elbow_flex",9.958392
17,-1.612893,5.897035,-7.528951,-0.126945,0.250403,-0.193196,2,1,"shoulder_lift;elbow_flex",4.006992
18,-0.367099,5.030488,-9.044659,1.504963,0.063641,0.079640,1,1,"elbow_flex",4.806238
19,-0.737071,5.880036,-5.768941,-0.775532,0.662816,0.765670,2,1,"shoulder_lift;elbow_flex",2.991345
