experiment,checkpoint_step,bucket,mae_shoulder_lift_deg,mae_elbow_flex_deg,mae_key_joints_mean_deg,nearest_demo_episode,nearest_demo_frame,nearest_demo_l2_dist_deg
combined65_baseline,2500,step0,6.831961631774902,8.940553665161133,7.886257648468018,33,25,2.217054168253552
combined65_baseline,2500,step1_2,6.644334316253662,9.51619815826416,8.080266237258911,33,25,2.217054168253552
combined65_baseline,2500,step3_plus,15.747241973876953,19.37606430053711,17.56165313720703,33,25,2.217054168253552
combined65_baseline,5000,step0,3.311771869659424,2.9412639141082764,3.12651789188385,33,25,2.217054168253552
combined65_baseline,5000,step1_2,2.8241524696350098,2.906879186630249,2.8655158281326294,33,25,2.217054168253552
combined65_baseline,5000,step3_plus,5.125509738922119,5.135533809661865,5.130521774291992,33,25,2.217054168253552
combined65_baseline,7500,step0,2.3176321983337402,2.0484111309051514,2.183021664619446,33,25,2.217054168253552
combined65_baseline,7500,step1_2,1.960679292678833,2.0158846378326416,1.9882819652557373,33,25,2.217054168253552
combined65_baseline,7500,step3_plus,10.015387535095215,12.411230087280273,11.213308811187744,33,25,2.217054168253552
combined65_baseline,10000,step0,2.029447555541992,1.5829658508300781,1.8062067031860352,33,25,2.217054168253552
combined65_baseline,10000,step1_2,1.8413358926773071,1.7828859090805054,1.8121109008789062,33,25,2.217054168253552
combined65_baseline,10000,step3_plus,5.897100448608398,7.753961086273193,6.825530767440796,33,25,2.217054168253552
combined65_early_weight,2500,step0,7.3398942947387695,8.664463996887207,8.002179145812988,33,25,2.217054168253552
combined65_early_weight,2500,step1_2,6.830801486968994,8.071321487426758,7.451061487197876,33,25,2.217054168253552
combined65_early_weight,2500,step3_plus,14.507180213928223,16.440031051635742,15.473605632781982,33,25,2.217054168253552
combined65_early_weight,5000,step0,3.2946858406066895,3.0754330158233643,3.185059428215027,33,25,2.217054168253552
combined65_early_weight,5000,step1_2,2.5824081897735596,3.0837063789367676,2.8330572843551636,33,25,2.217054168253552
combined65_early_weight,5000,step3_plus,4.6161112785339355,4.830598831176758,4.723355054855347,33,25,2.217054168253552
combined65_early_weight,7500,step0,2.0704846382141113,1.7657737731933594,1.9181292057037354,33,25,2.217054168253552
combined65_early_weight,7500,step1_2,2.079991102218628,1.9513013362884521,2.01564621925354,33,25,2.217054168253552
combined65_early_weight,7500,step3_plus,9.823044776916504,12.041535377502441,10.932290077209473,33,25,2.217054168253552
combined65_early_weight,10000,step0,1.8642857074737549,1.52153742313385,1.6929115653038025,33,25,2.217054168253552
combined65_early_weight,10000,step1_2,1.9627139568328857,1.7712695598602295,1.8669917583465576,33,25,2.217054168253552
combined65_early_weight,10000,step3_plus,6.510777473449707,8.337241172790527,7.424009323120117,33,25,2.217054168253552
reinforcement30_only,2500,step0,5.054875373840332,5.356999397277832,5.205937385559082,2,57,3.2451522717289136
reinforcement30_only,2500,step1_2,4.058041572570801,4.905914783477783,4.481978178024292,2,57,3.2451522717289136
reinforcement30_only,2500,step3_plus,14.121703147888184,8.50677490234375,11.314239025115967,2,57,3.2451522717289136
reinforcement30_only,5000,step0,3.2237725257873535,2.2645256519317627,2.744149088859558,2,57,3.2451522717289136
reinforcement30_only,5000,step1_2,3.217941999435425,2.1306164264678955,2.67427921295166,2,57,3.2451522717289136
reinforcement30_only,5000,step3_plus,13.547319412231445,7.50124454498291,10.524281978607178,2,57,3.2451522717289136
reinforcement30_only,7500,step0,2.4603538513183594,1.4204696416854858,1.9404117465019226,2,57,3.2451522717289136
reinforcement30_only,7500,step1_2,3.1238017082214355,1.9169857501983643,2.5203937292099,2,57,3.2451522717289136
reinforcement30_only,7500,step3_plus,13.249664306640625,8.072587013244629,10.661125659942627,2,57,3.2451522717289136
reinforcement30_only,10000,step0,2.4758353233337402,1.5064102411270142,1.9911227822303772,2,57,3.2451522717289136
reinforcement30_only,10000,step1_2,2.5816612243652344,1.5722472667694092,2.0769542455673218,2,57,3.2451522717289136
reinforcement30_only,10000,step3_plus,9.864120483398438,4.938998699188232,7.401559591293335,2,57,3.2451522717289136
