dataset,start_pose_pairwise_l2_median_deg,static_low_motion_fraction,static_length_median_frames,state_first_movement_median_frame,action_first_movement_median_frame,shoulder_lift_immediate_delta_mean_abs_deg,elbow_flex_immediate_delta_mean_abs_deg,shoulder_lift_immediate_would_clamp_frac,elbow_flex_immediate_would_clamp_frac,shoulder_lift_chunk_mean_abs_deg,elbow_flex_chunk_mean_abs_deg,shoulder_lift_chunk_max_abs_deg,elbow_flex_chunk_max_abs_deg,shoulder_lift_frac_static_frames_chunkmean_exceeds_would_clamp,elbow_flex_frac_static_frames_chunkmean_exceeds_would_clamp,shoulder_pan_start_std_deg,shoulder_lift_start_std_deg,elbow_flex_start_std_deg,wrist_flex_start_std_deg,wrist_roll_start_std_deg,gripper_start_std_deg
old35_v2_clean,3.851261209623281,0.07605388961321165,25.0,25.0,21.0,0.6143794206891741,2.244671709333147,0.0,0.001142857142857143,20.503087993600026,20.974933822261264,48.59307983943394,52.170599409920825,0.9965714285714286,0.9965714285714286,0.8463597112470906,1.1851579044148757,0.3188464064708756,1.7287755458904561,2.1758486482861676,0.6798290309458707
reinforcement30_v3,17.88314188243097,0.13520667888413765,38.5,38.5,33.5,0.5506420480199608,2.0887723888259337,0.0,0.0,9.531156990240856,10.020260753976293,25.33298006833318,24.40785128811756,0.6069277108433735,0.6174698795180723,9.557419975089804,3.4590872920593645,0.23907538587283206,7.592719214849425,0.04144215320379188,0.38784031054807516
