checkpoint_step,baseline_reweight2_1_heldout_mae,new_reweight2_1_early_heldout_mae,delta_heldout_mae,baseline_train_heldout_gap,new_train_heldout_gap,delta_gap,baseline_clamp_free_rate,new_clamp_free_rate,baseline_shoulder_lift_clamp_rate,new_shoulder_lift_clamp_rate,baseline_elbow_flex_clamp_rate,new_elbow_flex_clamp_rate,baseline_l2_vs_gt,new_l2_vs_gt,baseline_step0_key_joint_mae,new_step0_key_joint_mae,baseline_step1_2_key_joint_mae,new_step1_2_key_joint_mae,baseline_step3_plus_key_joint_mae,new_step3_plus_key_joint_mae
2500,4.867215,5.000373,0.1331579999999999,-0.0390290000000002,0.14397899999999986,0.18300800000000006,0.0,0.0,0.4,0.35,0.75,0.9,10.79258954366903,10.286455980087176,5.219793319702148,5.082473516464233,4.76125955581665,4.42827832698822,9.562256336212158,8.850345611572266
5000,4.108792,4.113543,0.004750999999999728,0.2702740000000001,0.3628429999999998,0.09256899999999968,0.3,0.3,0.4,0.35,0.65,0.65,5.635972109511743,5.226399218077536,2.7850838899612427,2.612494111061096,2.4810489416122437,2.44901180267334,4.425379276275635,4.483448505401611
7500,3.587668,3.608191,0.02052300000000029,0.54765,0.5753080000000002,0.027658000000000182,0.35,0.35,0.25,0.15,0.65,0.65,3.569023103017136,3.9061089424096225,1.6409406661987305,1.652565598487854,1.823102056980133,1.9836302399635315,8.253641843795776,7.806652784347534
10000,3.527781,3.541337,0.013555999999999901,0.630836,0.6563810000000001,0.02554500000000015,0.4,0.35,0.25,0.25,0.6,0.65,3.3128641482859416,3.542443576478449,1.6166282296180725,1.5109119415283203,1.8594542145729065,1.8259357810020447,7.434643268585205,7.535845756530762
