dataset,episode,joint,n_frames,mean_abs_delta_deg,median_abs_delta_deg,p95_abs_delta_deg,max_abs_delta_deg,would_clamp_threshold_deg,frac_would_clamp
v2_clean,9,wrist_flex,25,0.14945,0.04396,0.30769,0.30769,4.01000,0.00000
v2_clean,9,wrist_roll,25,0.12308,0.08791,0.26374,0.26374,1.15000,0.00000
v2_clean,9,gripper,25,0.23839,0.23839,0.23839,0.23839,9.17000,0.00000
v2_clean,10,shoulder_pan,32,0.76099,0.87912,0.87912,0.87912,4.58000,0.00000
v2_clean,10,shoulder_lift,32,0.52198,0.35165,1.52967,3.34066,5.16000,0.00000
v2_clean,10,elbow_flex,32,2.24451,1.97802,3.47692,4.70329,5.73000,0.00000
v2_clean,10,wrist_flex,32,0.95604,1.09890,1.09890,1.09890,4.01000,0.00000
v2_clean,10,wrist_roll,32,0.18407,0.17582,0.35165,0.35165,1.15000,0.00000
v2_clean,10,gripper,32,0.29164,0.30588,0.37685,0.37685,9.17000,0.00000
v2_clean,11,shoulder_pan,29,0.70330,0.70330,0.70330,0.70330,4.58000,0.00000
v2_clean,11,shoulder_lift,29,0.58810,0.26373,2.86593,3.86813,5.16000,0.00000
v2_clean,11,elbow_flex,29,2.19628,1.97802,3.29670,4.00000,5.73000,0.00000
v2_clean,11,wrist_flex,29,0.29254,0.30769,0.30769,0.30769,4.01000,0.00000
v2_clean,11,wrist_roll,29,0.08791,0.08791,0.08791,0.08791,1.15000,0.00000
v2_clean,11,gripper,29,0.22339,0.07337,1.04487,1.21285,9.17000,0.00000
v2_clean,12,shoulder_pan,30,0.60952,0.70330,0.70330,0.70330,4.58000,0.00000
v2_clean,12,shoulder_lift,30,0.48059,0.35165,0.93626,1.93407,5.16000,0.00000
v2_clean,12,elbow_flex,30,1.99853,1.71429,2.88352,4.00000,5.73000,0.00000
v2_clean,12,wrist_flex,30,0.87033,1.01099,1.18681,1.18681,4.01000,0.00000
v2_clean,12,wrist_roll,30,0.28718,0.26374,0.35165,0.35165,1.15000,0.00000
v2_clean,12,gripper,30,0.26282,0.24862,0.31960,0.31960,9.17000,0.00000
v2_clean,13,shoulder_pan,34,1.05236,1.14286,1.14286,1.14286,4.58000,0.00000
v2_clean,13,shoulder_lift,34,0.55074,0.43956,0.85275,1.67033,5.16000,0.00000
v2_clean,13,elbow_flex,34,2.15643,1.89011,3.78022,4.96703,5.73000,0.00000
v2_clean,13,wrist_flex,34,1.10666,1.18681,1.18681,1.18681,4.01000,0.00000
v2_clean,13,wrist_roll,34,0.27666,0.26374,0.35165,0.35165,1.15000,0.00000
v2_clean,13,gripper,34,0.13865,0.15326,0.15326,0.15326,9.17000,0.00000
v2_clean,14,shoulder_pan,25,0.87209,0.87912,0.87912,0.87912,4.58000,0.00000
v2_clean,14,shoulder_lift,25,0.41846,0.35165,0.61539,0.61539,5.16000,0.00000
v2_clean,14,elbow_flex,25,2.31561,1.80220,4.28132,4.52747,5.73000,0.00000
v2_clean,14,wrist_flex,25,0.45538,0.57143,0.57143,0.57143,4.01000,0.00000
v2_clean,14,wrist_roll,25,0.53451,0.52747,0.52747,0.70330,1.15000,0.00000
v2_clean,14,gripper,25,0.15762,0.15762,0.15762,0.15762,9.17000,0.00000
v2_clean,15,shoulder_pan,29,0.95188,0.96703,0.96703,0.96703,4.58000,0.00000
v2_clean,15,shoulder_lift,29,0.57598,0.43956,2.18022,2.63737,5.16000,0.00000
v2_clean,15,elbow_flex,29,2.54793,2.24175,3.61319,4.26373,5.73000,0.00000
v2_clean,15,wrist_flex,29,0.64418,0.74725,0.74725,0.74725,4.01000,0.00000
v2_clean,15,wrist_roll,29,0.43956,0.43956,0.43956,0.43956,1.15000,0.00000
v2_clean,15,gripper,29,0.38273,0.38273,0.38273,0.38273,9.17000,0.00000
v2_clean,16,shoulder_pan,29,0.93672,0.96703,0.96703,0.96703,4.58000,0.00000
v2_clean,16,shoulder_lift,29,0.66389,0.43956,2.44396,3.34066,5.16000,0.00000
v2_clean,16,elbow_flex,29,2.36301,2.24175,3.50769,3.73627,5.73000,0.00000
v2_clean,16,wrist_flex,29,0.34104,0.30769,0.39561,0.39561,4.01000,0.00000
v2_clean,16,wrist_roll,29,0.14248,0.08791,0.26374,0.26374,1.15000,0.00000
v2_clean,16,gripper,29,0.23055,0.23055,0.23055,0.23055,9.17000,0.00000
v2_clean,17,shoulder_pan,24,0.54212,0.52747,0.61538,0.61538,4.58000,0.00000
v2_clean,17,shoulder_lift,24,0.76557,0.43956,3.12967,4.30769,5.16000,0.00000
v2_clean,17,elbow_flex,24,2.31502,2.06593,3.71868,4.17583,5.73000,0.00000
v2_clean,17,wrist_flex,24,0.39561,0.39561,0.39561,0.39561,4.01000,0.00000
v2_clean,17,wrist_roll,24,0.26007,0.26374,0.33846,0.35165,1.15000,0.00000
v2_clean,17,gripper,24,0.25646,0.25646,0.25646,0.25646,9.17000,0.00000
v2_clean,18,shoulder_pan,24,0.44689,0.61538,0.61538,0.61538,4.58000,0.00000
v2_clean,18,shoulder_lift,24,0.53480,0.26373,2.12747,3.34066,5.16000,0.00000
v2_clean,18,elbow_flex,24,0.80953,0.61539,2.04835,3.03297,5.73000,0.00000
v2_clean,18,wrist_flex,24,0.65568,0.79121,0.83517,0.83517,4.01000,0.00000
v2_clean,18,wrist_roll,24,0.07326,0.08791,0.08791,0.08791,1.15000,0.00000
v2_clean,18,gripper,24,0.11452,0.11452,0.11452,0.11452,9.17000,0.00000
v2_clean,19,shoulder_pan,26,0.45309,0.35165,0.79121,0.79121,4.58000,0.00000
v2_clean,19,shoulder_lift,26,0.66610,0.39560,2.30769,3.42857,5.16000,0.00000
v2_clean,19,elbow_flex,26,2.14370,1.93406,3.53846,4.70329,5.73000,0.00000
v2_clean,19,wrist_flex,26,0.28741,0.30769,0.39561,0.48352,4.01000,0.00000
v2_clean,19,wrist_roll,26,0.16230,0.08791,0.26374,0.26374,1.15000,0.00000
v2_clean,19,gripper,26,0.10668,0.10668,0.10668,0.10668,9.17000,0.00000
v2_clean,20,shoulder_pan,24,0.70330,0.70330,0.70330,0.70330,4.58000,0.00000
v2_clean,20,shoulder_lift,24,0.51648,0.43956,1.37582,2.46153,5.16000,0.00000
v2_clean,20,elbow_flex,24,2.69231,2.32967,4.19781,4.52747,5.73000,0.00000
v2_clean,20,wrist_flex,24,0.15751,0.13187,0.21978,0.21978,4.01000,0.00000
v2_clean,20,wrist_roll,24,0.17582,0.17582,0.17582,0.17582,1.15000,0.00000
v2_clean,20,gripper,24,0.29760,0.29760,0.29760,0.29760,9.17000,0.00000
v2_clean,21,shoulder_pan,20,0.91868,0.96703,0.96703,0.96703,4.58000,0.00000
v2_clean,21,shoulder_lift,20,0.68571,0.43956,2.58022,3.16483,5.16000,0.00000
