heldout_episode,train_episode,start_state_l2_deg,start_state_near_duplicate,trajectory_mean_l2_deg,visual_feature_l2,video_hash_exact_match
5,8,14.46057,False,49.92989,7484.20166,False
5,16,14.54540,False,32.72655,6538.03271,False
4,11,14.67399,False,37.39410,6943.48145,False
2,16,14.97395,False,26.64354,6686.57715,False
3,11,14.99628,False,23.72776,6783.57422,False
0,26,15.02137,False,35.00860,7116.13037,False
1,20,15.13242,False,31.44891,6289.03174,False
3,9,15.14259,False,23.57584,4631.78418,False
2,3,15.35430,False,20.62360,6415.66895,False
1,17,15.70791,False,26.26637,5093.67969,False
5,20,15.83809,False,36.79959,4625.31689,False
5,13,15.94639,False,43.06031,5273.77686,False
3,7,16.15823,False,26.48482,6421.85693,False
2,21,16.23934,False,34.65453,7226.85547,False
1,11,16.24153,False,18.97313,4083.21826,False
1,10,16.26008,False,19.40614,3687.12085,False
5,14,16.26503,False,46.98260,7179.26123,False
5,22,16.31142,False,45.29645,7037.54834,False
4,4,16.31597,False,40.96074,7040.92236,False
3,10,16.35423,False,21.77974,6194.80225,False
2,0,16.42652,False,27.89407,7760.60645,False
3,16,16.59780,False,18.75652,5286.86621,False
0,9,16.66403,False,37.29074,6393.11426,False
0,16,16.67393,False,25.18966,6149.73193,False
3,5,16.69460,False,31.60866,7254.83057,False
2,35,16.71477,False,45.83321,7200.49561,False
2,31,16.80192,False,42.85050,5723.46582,False
0,23,16.83784,False,35.86549,6307.70508,False
0,2,17.18149,False,30.36347,6805.29785,False
2,14,17.25972,False,29.92937,7414.72900,False
4,29,17.27367,False,24.55793,4247.95264,False
4,37,17.36485,False,24.40931,4690.68164,False
2,36,17.40775,False,43.73412,5600.50830,False
1,32,17.54074,False,27.19524,4897.66406,False
0,11,17.54435,False,27.93593,7176.34229,False
2,25,17.59613,False,37.77326,5195.75830,False
2,28,17.60582,False,50.48329,7126.70703,False
2,18,17.63236,False,36.23767,6236.81445,False
2,20,17.68844,False,24.23964,4882.43115,False
1,16,17.79459,False,21.93133,6108.08887,False
0,7,17.82865,False,38.34507,6325.16162,False
3,17,17.83564,False,26.20999,6721.84033,False
2,33,17.90622,False,46.67544,5342.60986,False
2,15,17.95443,False,29.75450,7437.13965,False
2,8,18.01580,False,33.60191,7786.12451,False
1,14,18.03622,False,22.92436,6958.64111,False
3,32,18.09687,False,23.79352,6432.18359,False
1,24,18.47292,False,27.54571,4946.82178,False
3,4,18.52039,False,29.60597,7099.54639,False
4,23,18.68200,False,28.92146,6002.06299,False
0,30,18.75872,False,42.98789,6466.29199,False
2,22,18.85563,False,38.81180,7355.76660,False
5,3,18.94498,False,47.97043,6594.29248,False
3,27,19.18342,False,31.52267,7258.81494,False
5,35,19.23355,False,53.22262,6978.76758,False
0,10,19.42411,False,33.06652,7163.31885,False
4,34,19.44519,False,49.99519,6964.52979,False
0,5,19.49618,False,33.37625,7627.77148,False
5,26,19.55850,False,28.12992,4281.06445,False
1,12,19.73594,False,24.34812,5653.78027,False
1,7,19.74800,False,29.30407,7096.99023,False
1,9,19.81138,False,26.05897,6455.35889,False
4,2,19.99249,False,41.39050,6787.36670,False
3,34,20.06947,False,38.88555,7088.79639,False
4,10,20.14691,False,37.44252,6899.18945,False
3,30,20.17183,False,26.82875,4802.75830,False
0,27,20.26682,False,38.98576,7319.61475,False
0,17,20.63576,False,24.91579,7183.53516,False
4,1,20.67035,False,37.72214,5912.75781,False
0,4,20.96141,False,30.56828,7359.52441,False
3,12,20.97831,False,31.14421,7309.65039,False
1,34,21.08318,False,37.59617,6415.60596,False
0,32,21.25591,False,39.96222,6950.19189,False
4,5,21.39931,False,47.57065,7465.14453,False
4,13,21.44926,False,43.24521,7008.81299,False
4,19,21.59072,False,34.95121,7046.87695,False
4,17,21.65979,False,32.83155,7191.31934,False
3,1,21.76868,False,27.22826,5110.38379,False
1,27,21.85446,False,30.19506,6383.51123,False
3,19,21.92701,False,32.38600,7157.07666,False
1,19,21.98407,False,31.35042,5890.06543,False
1,4,22.41906,False,23.56030,4654.90576,False
1,1,22.75796,False,24.71913,7082.05322,False
0,34,22.83552,False,44.26747,7218.19336,False
3,35,23.21595,False,31.79723,6226.54980,False
2,26,23.62909,False,39.34606,5307.65186,False
0,12,24.04231,False,26.82451,7085.06152,False
0,35,24.15943,False,39.84169,6074.69824,False
4,26,24.25857,False,36.87480,6904.49316,False
5,30,24.43276,False,38.12780,6690.75293,False
0,1,24.45639,False,24.18712,5196.61084,False
0,19,24.64940,False,28.63985,7164.04883,False
3,13,24.69501,False,33.32310,7478.80908,False
2,30,24.71563,False,47.18645,6861.99805,False
4,32,24.77747,False,34.11914,6398.56250,False
1,30,25.03121,False,32.68183,6049.48730,False
4,12,25.15088,False,42.13949,7121.90479,False
4,3,26.03792,False,40.76548,6965.91406,False
0,13,27.15209,False,33.60503,7422.81299,False
1,35,27.30298,False,38.21838,6967.55762,False
1,13,27.51460,False,25.97856,6446.01123,False
3,3,29.37671,False,27.77321,6591.55029,False
1,3,30.24759,False,21.22206,4733.92236,False
0,3,31.79387,False,28.85653,7245.33984,False
