dataset,episode,length,state_first_movement_frame,state_first_movement_s,action_first_movement_frame,action_first_movement_s,static_length_frames,moving_length_frames,static_fraction,v4_wrist_variation_episode
v4_train39,15,328,30,1.00000,26,0.86667,30,298,0.09146,False
v4_train39,16,328,40,1.33333,37,1.23333,40,288,0.12195,False
v4_train39,17,328,44,1.46667,40,1.33333,44,284,0.13415,False
v4_train39,18,329,47,1.56667,43,1.43333,47,282,0.14286,False
v4_train39,19,328,45,1.50000,33,1.10000,45,283,0.13720,False
v4_train39,20,328,40,1.33333,31,1.03333,40,288,0.12195,False
v4_train39,21,329,31,1.03333,27,0.90000,31,298,0.09422,False
v4_train39,22,328,16,0.53333,13,0.43333,16,312,0.04878,False
v4_train39,23,328,33,1.10000,31,1.03333,33,295,0.10061,False
v4_train39,24,328,21,0.70000,19,0.63333,21,307,0.06402,False
v4_train39,25,328,15,0.50000,11,0.36667,15,313,0.04573,False
v4_train39,26,328,46,1.53333,43,1.43333,46,282,0.14024,False
v4_train39,27,328,37,1.23333,30,1.00000,37,291,0.11280,False
v4_train39,28,328,33,1.10000,29,0.96667,33,295,0.10061,False
v4_train39,29,328,26,0.86667,23,0.76667,26,302,0.07927,False
v4_train39,30,328,28,0.93333,21,0.70000,28,300,0.08537,False
v4_train39,31,328,16,0.53333,13,0.43333,16,312,0.04878,False
v4_train39,32,328,25,0.83333,20,0.66667,25,303,0.07622,False
v4_train39,33,328,27,0.90000,24,0.80000,27,301,0.08232,False
v4_train39,34,328,21,0.70000,17,0.56667,21,307,0.06402,False
v4_train39,35,328,15,0.50000,11,0.36667,15,313,0.04573,True
v4_train39,36,328,19,0.63333,17,0.56667,19,309,0.05793,True
v4_train39,37,328,23,0.76667,20,0.66667,23,305,0.07012,True
v4_train39,38,328,12,0.40000,9,0.30000,12,316,0.03659,True
v4_heldout6,0,328,45,1.50000,33,1.10000,45,283,0.13720,False
v4_heldout6,1,328,23,0.76667,22,0.73333,23,305,0.07012,False
v4_heldout6,2,328,33,1.10000,23,0.76667,33,295,0.10061,False
v4_heldout6,3,328,28,0.93333,25,0.83333,28,300,0.08537,False
v4_heldout6,4,328,35,1.16667,20,0.66667,35,293,0.10671,False
v4_heldout6,5,328,28,0.93333,22,0.73333,28,300,0.08537,False
