seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.268617,8.117044,-12.669461,0.914112,0.239533,0.155485,2,1,"shoulder_lift;elbow_flex",9.471726
1,-0.889237,14.527963,-9.634656,0.024098,0.347545,-0.147691,2,1,"shoulder_lift;elbow_flex",11.841355
2,-0.310584,5.143212,-5.441792,0.527676,0.324357,0.650937,0,0,"",1.938012
3,-0.250266,5.734437,-8.776761,1.858914,0.225431,0.487852,2,1,"shoulder_lift;elbow_flex",4.941840
4,-1.948825,6.719186,-8.122647,0.364365,0.432318,1.138058,2,1,"shoulder_lift;elbow_flex",5.231211
5,-0.546420,7.956056,-8.086072,1.748898,0.265535,0.003490,2,1,"shoulder_lift;elbow_flex",5.643336
6,-0.846663,4.691033,-7.265088,1.686703,0.104630,0.290508,1,1,"elbow_flex",3.362608
7,-1.113172,9.134210,-8.155087,1.147560,0.186939,-0.780098,2,1,"shoulder_lift;elbow_flex",6.562714
8,-1.008260,6.247972,-4.804669,1.250511,0.443532,0.128779,1,1,"shoulder_lift",2.940950
9,-1.121247,6.345803,-8.108891,0.804478,0.252583,-0.265727,2,1,"shoulder_lift;elbow_flex",4.526232
10,-0.785979,10.286386,-9.099095,0.228333,0.218680,0.836718,2,1,"shoulder_lift;elbow_flex",7.978623
11,-0.793315,5.582086,-7.629781,0.928120,0.396810,0.768384,2,1,"shoulder_lift;elbow_flex",3.858513
12,-0.794356,0.676133,-6.232961,0.532040,0.140514,1.111446,1,1,"elbow_flex",3.993718
13,0.014009,6.214349,-7.318654,1.135944,0.381889,0.426113,2,1,"shoulder_lift;elbow_flex",3.802325
14,-1.146874,7.743394,-7.998471,-0.079899,0.286957,0.106457,2,1,"shoulder_lift;elbow_flex",5.350329
15,-1.809394,11.114701,-9.149892,-0.128139,0.306092,0.067803,2,1,"shoulder_lift;elbow_flex",8.800203
16,-2.706334,10.731561,-11.087811,2.501042,0.316535,0.734863,2,1,"shoulder_lift;elbow_flex",10.187718
17,-1.544805,7.321183,-5.163174,-0.467152,0.255805,-0.246434,1,1,"shoulder_lift",3.972392
18,0.391782,5.991922,-7.570752,1.204723,-0.002645,0.435536,2,1,"shoulder_lift;elbow_flex",3.852518
19,-0.222865,6.596917,-2.770459,-1.478779,0.722852,1.107707,1,1,"shoulder_lift",4.073604
