seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-5.069583,5.547891,-18.488759,2.009464,0.102825,0.224817,3,1,"shoulder_pan;shoulder_lift;elbow_flex",15.044741
1,-2.317880,16.257135,-14.402570,0.402180,0.368788,0.359283,2,1,"shoulder_lift;elbow_flex",16.006262
2,-2.286149,0.795907,-7.697285,1.506134,0.240450,0.825387,1,1,"elbow_flex",5.298674
3,-1.456286,3.234956,-13.460767,3.459843,0.105207,0.510550,1,1,"elbow_flex",9.619414
4,-5.496181,5.706651,-12.171590,1.600727,0.458940,2.176065,3,1,"shoulder_pan;shoulder_lift;elbow_flex",10.054461
5,-2.310050,6.907273,-11.457272,3.538265,0.249590,-0.125358,2,1,"shoulder_lift;elbow_flex",8.566921
6,-2.279590,2.730462,-11.787099,3.212147,-0.096574,0.471800,1,1,"elbow_flex",8.266833
7,-3.180839,8.664613,-13.755978,2.573055,0.055217,-0.785660,2,1,"shoulder_lift;elbow_flex",11.117449
8,-3.879779,4.999101,-8.347501,2.608479,0.422562,0.818974,1,1,"elbow_flex",6.238827
9,-2.903651,2.502572,-11.868298,2.013306,0.091948,-0.234258,1,1,"elbow_flex",8.198130
10,-2.570546,10.446580,-13.102406,0.994610,0.159722,0.733832,2,1,"shoulder_lift;elbow_flex",11.163495
11,-2.188394,3.482782,-12.216122,2.088432,0.376164,1.129959,1,1,"elbow_flex",8.326063
12,-4.025794,-5.370330,-9.096120,2.064213,-0.157135,2.294665,2,1,"shoulder_lift;elbow_flex",11.546903
13,-1.036286,3.778230,-10.078954,2.428082,0.326568,0.763310,1,1,"elbow_flex",6.128065
14,-3.447661,6.436059,-12.970013,0.688904,0.213874,0.363178,2,1,"shoulder_lift;elbow_flex",9.502827
15,-3.680560,12.357041,-15.210713,0.641476,0.301976,0.346048,2,1,"shoulder_lift;elbow_flex",14.141070
16,-5.101223,10.202287,-16.365109,4.506718,0.219371,1.590890,4,1,"shoulder_pan;shoulder_lift;elbow_flex;wrist_flex",15.104784
17,-4.591605,6.676782,-7.875546,-0.456440,0.186938,-0.179178,3,1,"shoulder_pan;shoulder_lift;elbow_flex",6.465188
18,-0.493932,3.354806,-10.724019,2.238518,-0.287426,0.970467,1,1,"elbow_flex",6.619055
19,-1.173221,3.956620,-3.765858,-1.357159,0.835302,2.245319,0,0,"",3.532330
