seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-2.657397,6.258325,-12.954082,0.148358,0.232075,0.196015,2,1,"shoulder_lift;elbow_flex",9.146005
1,-1.085816,12.636193,-11.086231,-0.635933,0.351042,-0.402028,2,1,"shoulder_lift;elbow_flex",11.012446
2,-0.766679,3.792245,-6.520686,-0.058826,0.321531,0.577300,1,1,"elbow_flex",2.361661
3,-0.780532,4.007074,-9.140468,1.021702,0.240588,0.384227,1,1,"elbow_flex",4.760189
4,-2.334880,5.104859,-9.348003,-0.343559,0.423759,0.980701,1,1,"elbow_flex",5.701388
5,-0.859088,6.212564,-9.118198,0.962620,0.289670,-0.113544,2,1,"shoulder_lift;elbow_flex",5.251703
6,-1.384948,3.194749,-8.096042,0.895161,0.142386,0.263200,1,1,"elbow_flex",3.981899
7,-1.366115,7.362703,-9.393474,0.681454,0.227858,-0.623963,2,1,"shoulder_lift;elbow_flex",6.150127
8,-1.375123,5.140863,-7.035167,0.520294,0.420419,0.074895,1,1,"elbow_flex",3.222811
9,-1.508105,4.425286,-8.663448,0.046803,0.247924,-0.212027,1,1,"elbow_flex",4.437065
10,-1.089400,8.136224,-9.783870,-0.470547,0.204735,0.630306,2,1,"shoulder_lift;elbow_flex",6.928124
11,-1.119142,4.281160,-8.556178,0.272976,0.396544,0.662239,1,1,"elbow_flex",4.310771
12,-1.416768,0.125451,-7.276691,-0.040352,0.141168,1.104117,1,1,"elbow_flex",5.077321
13,-0.488498,4.524179,-8.245403,0.296932,0.375423,0.393724,1,1,"elbow_flex",3.844606
14,-1.380548,6.070718,-9.018512,-0.741360,0.272921,0.090576,2,1,"shoulder_lift;elbow_flex",5.280630
15,-1.835229,9.393647,-10.570781,-0.752079,0.299164,-0.109347,2,1,"shoulder_lift;elbow_flex",8.436931
16,-2.872689,8.753610,-12.216228,1.761967,0.325328,0.669515,2,1,"shoulder_lift;elbow_flex",9.719336
17,-1.608615,5.620675,-6.971454,-0.996647,0.257014,-0.188036,2,1,"shoulder_lift;elbow_flex",3.663768
18,-0.272237,4.530763,-8.367580,0.694336,0.047094,0.184236,1,1,"elbow_flex",3.901032
19,-0.705153,5.383180,-5.239810,-1.651691,0.670592,0.919751,1,1,"shoulder_lift",3.013302
