seed,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper,clamp_joint_count,any_clamp,clamped_joints,l2_error_vs_gt_deg
0,-1.960004,5.442375,-10.637044,1.161961,0.157912,0.771549,2,1,"shoulder_lift;elbow_flex",6.741171
1,-0.259248,12.105827,-7.665730,0.277660,0.270990,0.516850,2,1,"shoulder_lift;elbow_flex",8.842437
2,0.034167,2.392585,-3.347516,0.854832,0.249396,1.147051,0,0,"",2.545320
3,0.236310,3.018631,-6.944920,2.263851,0.157822,1.054406,1,1,"elbow_flex",3.504841
4,-1.664306,4.208824,-6.104810,0.594982,0.380319,1.782692,1,1,"elbow_flex",3.241667
5,-0.116727,5.515876,-5.986829,2.158207,0.193277,0.544250,2,1,"shoulder_lift;elbow_flex",3.044291
6,-0.445115,1.912056,-5.337132,2.102551,0.019642,0.780943,0,0,"",3.082951
7,-0.846555,6.424896,-6.102444,1.533760,0.102774,-0.343965,2,1,"shoulder_lift;elbow_flex",3.399570
8,-0.667144,3.724556,-2.776730,1.540753,0.365606,0.613727,0,0,"",2.633869
9,-0.804484,3.588524,-6.003392,1.162624,0.162116,0.309968,1,1,"elbow_flex",2.077506
10,-0.228740,7.825691,-6.938809,0.493210,0.147276,1.517428,2,1,"shoulder_lift;elbow_flex",4.973552
11,-0.415057,2.795768,-5.517087,1.186218,0.333797,1.363672,0,0,"",2.502796
12,-0.509690,-2.358048,-4.250836,0.823185,0.026908,1.691459,0,0,"",6.617974
13,0.466479,3.691757,-5.374562,1.430702,0.317632,0.970957,0,0,"",1.998330
14,-0.877847,5.073021,-5.916867,0.089996,0.206959,0.672362,1,1,"elbow_flex",2.312468
15,-1.421733,8.523170,-7.174649,0.082001,0.223181,0.693914,2,1,"shoulder_lift;elbow_flex",5.649636
16,-2.294116,8.196777,-9.039265,2.836346,0.246654,1.361699,2,1,"shoulder_lift;elbow_flex",7.362080
17,-1.296226,4.685074,-3.017705,-0.251762,0.170366,0.207904,0,0,"",2.440555
18,0.984660,3.577072,-5.617276,1.650585,-0.110785,1.005869,0,0,"",2.356373
19,0.240197,4.134269,-0.609586,-1.247200,0.638066,1.869779,0,0,"",4.858234
