name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.05,0.95,1.65,9.192533499691319,8.569811349001931,14.951451015788987,15.087635296886226,5.014512600000001,4.349358540035363,-5.906722,15.243783,21.150505000000003,-11.43904005,3.3054139255356576,-18.518666,-3.518765,14.999901,1.0,1,1
3_sample_median,1140,0.0,1.0,1.4666666666666666,8.267966442299578,8.153031753690318,11.82482446111737,14.147426741566436,4.817760678947368,2.263329609307849,0.39071,11.461465,11.070755,-11.524185475438596,1.8692188878827256,-16.229039,-7.499989,8.72905,3.0,3,3
5_sample_median,15504,0.0,1.0,1.404282765737874,8.117215276470816,8.103358533522629,10.476565610299094,12.923336479439103,4.634248256578947,1.6943347454108268,2.171197,9.652932,7.4817350000000005,-11.591063970330236,1.3682876955280476,-14.773938,-7.512593,7.2613449999999995,5.0,5,5
safety_pass_resampling_max3,20000,0.15165,0.8483499999999999,1.47515,4.4626037880200204,4.082844841604994,6.581331816820583,10.37625175792193,3.46158594875,2.3203734378520813,-5.16,5.16,10.32,-5.394666212250002,0.7931286522050564,-5.73,-3.518765,2.2112350000000003,2.85005,3,3
safety_pass_resampling_max5,20000,0.2529,0.7471,1.308,4.344540887299378,3.997234250408314,6.581331816820583,10.37625175792193,3.44102951305,2.154087777099431,-5.16,5.16,10.32,-5.170778668500002,0.9611666262177282,-5.73,-3.518765,2.2112350000000003,4.49655,5,5
