scene,synthetic,single_clamp_free_pct,median3_clamp_free_pct,median5_clamp_free_pct,resample3_clamp_free_pct,resample5_clamp_free_pct,single_gt_l2_mean_deg,resample3_gt_l2_mean_deg,resample5_gt_l2_mean_deg,resample3_avg_inference,resample5_avg_inference,shoulder_pan_clamp_rate_pct,shoulder_lift_clamp_rate_pct,elbow_flex_clamp_rate_pct,wrist_flex_clamp_rate_pct,wrist_roll_clamp_rate_pct,gripper_clamp_rate_pct
T01,0,5.0,0.0,0.0,15.2,25.3,8.564,4.325,4.281,2.85,4.5,15.0,50.0,95.0,5.0,0.0,0.0
T02,0,5.0,0.0,0.0,15.2,25.3,8.564,4.332,4.252,2.85,4.5,15.0,45.0,95.0,5.0,0.0,0.0
T03,0,5.0,0.0,0.0,15.2,25.3,9.361,4.36,4.259,2.85,4.5,15.0,55.0,95.0,5.0,0.0,0.0
T04,0,5.0,0.0,0.0,15.2,25.3,8.427,4.15,4.052,2.85,4.5,10.0,50.0,95.0,5.0,0.0,0.0
T05,0,5.0,0.0,0.0,15.2,25.3,9.193,4.463,4.345,2.85,4.5,15.0,50.0,95.0,5.0,0.0,0.0
T06,0,5.0,0.0,0.0,15.2,25.3,9.471,4.391,4.263,2.85,4.5,15.0,55.0,95.0,5.0,0.0,0.0
T07,0,5.0,0.0,0.0,15.2,25.3,9.547,4.491,4.381,2.85,4.5,20.0,55.0,95.0,5.0,0.0,0.0
T08,0,5.0,0.0,0.0,15.2,25.3,9.064,4.088,4.01,2.85,4.5,5.0,55.0,95.0,5.0,0.0,0.0
T09,0,5.0,0.0,0.0,15.2,25.3,10.122,4.143,4.028,2.85,4.5,15.0,55.0,95.0,5.0,0.0,0.0
T10,0,5.0,0.0,0.0,15.2,25.3,8.927,4.216,4.091,2.85,4.5,5.0,50.0,95.0,5.0,0.0,0.0

AVERAGE (T01-T10),,,,,,,,,,,,,,,,,
average,,5.0,0.0,0.0,15.2,25.3,9.124,4.296,4.196,2.85,4.5,13.0,52.0,95.0,5.0,0.0,0.0
