name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.25,0.75,1.15,4.27354444246517,3.483139313728089,7.865151434437297,9.858471665513305,5.155262649999999,3.032481093030149,-2.124221,12.91327,15.037491000000001,-6.2610924,2.2703210396889997,-11.543736,-1.174741,10.368995000000002,1.0,1,1
3_sample_median,1140,0.16666666666666666,0.8333333333333334,1.219298245614035,3.109171287627816,2.731530585388674,5.9601922348042695,7.225489956820768,4.980884654385965,1.5293574513447123,2.141023,9.0971,6.956076999999999,-6.302654535087719,1.20746971854589,-9.518353,-3.030248,6.488104999999999,3.0,3,3
5_sample_median,15504,0.11326109391124871,0.8867389060887513,1.2641898864809082,2.8203322553149737,2.6038218768331625,4.373023553815752,6.444095646138948,4.857999735423117,1.1100358858053532,2.692582,8.670808,5.978225999999999,-6.351866555211559,0.797778484497924,-8.408894,-3.31944,5.089454,5.0,5,5
safety_pass_resampling_max3,20000,0.60825,0.39175000000000004,0.6037,3.2163880547050123,2.536757480150242,6.4304210859039,6.4304210859039,3.1948484562,2.2276910771351965,-2.124221,5.16,7.2842210000000005,-4.4324793011,1.5444489733681603,-5.73,-1.174741,4.555259,2.29705,3,3
safety_pass_resampling_max5,20000,0.8095,0.1905,0.2945,3.4555765425939753,2.821328206390997,6.4304210859039,6.4304210859039,2.7038642119000005,2.353886675277586,-2.124221,5.16,7.2842210000000005,-4.0638242277,1.5733494255479312,-5.73,-1.174741,4.555259,2.96345,5,5
