name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.0,1.0,1.6,6.593514966219624,5.892927741011409,10.895338906122157,12.033608832253746,5.9761359999999994,2.5734051303178824,0.380059,12.809503,12.429444,-10.186695349999999,1.8702805919486059,-14.409528,-6.677777,7.731751,1.0,1,1
3_sample_median,1140,0.0,1.0,1.656140350877193,6.118223305380535,5.95633690135678,9.32886502113615,10.620247260277564,5.758930454385966,1.3299708237077057,3.393663,9.681138,6.287475000000001,-10.092245566666666,1.1051925023664428,-13.443806,-7.772145,5.671661,3.0,3,3
5_sample_median,15504,0.0,1.0,1.7038183694530444,6.0090505337678195,5.9779627415661585,8.124642835183623,9.741775674171611,5.645029018317853,0.9632964938760151,3.81083,8.992852,5.182021999999999,-10.071705117131064,0.763627375816482,-12.530766,-8.186543,4.3442229999999995,5.0,5,5
safety_pass_resampling_max3,20000,0.0,1.0,1.60005,2.5096757969104444,2.3326043452638787,4.1100209261048875,4.1100209261048875,4.6131603088,1.11013493172488,0.380059,5.16,4.779941,-5.730000000000002,1.7763568394002505e-15,-5.73,-5.73,0.0,3.0,3,3
safety_pass_resampling_max5,20000,0.0,1.0,1.6091,2.5206105176075413,2.34662416142681,4.014230089602089,4.1100209261048875,4.637576374149999,1.0855449883343875,0.380059,5.16,4.779941,-5.730000000000002,1.7763568394002505e-15,-5.73,-5.73,0.0,5.0,5,5
