name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.05,0.95,1.6,5.482133546486564,4.7558052684942185,9.990158777477419,11.296856244285092,6.782960149999999,2.7215120345174717,0.37668,13.829759,13.453078999999999,-7.89480665,2.155086164817576,-12.874562,-2.798215,10.076346999999998,1.0,1,1
3_sample_median,1140,0.007894736842105263,0.9921052631578947,1.8245614035087718,4.841868479892389,4.586666019804176,8.117803292671727,9.483150679343893,6.587027052631579,1.3857902815836058,4.180749,10.365411,6.184662,-7.947500710526315,1.1091774558934038,-11.136952,-4.955235,6.181717000000001,3.0,3,3
5_sample_median,15504,0.0005804953560371517,0.9994195046439629,1.9360165118679051,4.715873130874509,4.56214387475932,6.514374036387264,8.437594928501012,6.4516861873065015,1.0141191214568597,4.684152,10.086839,5.402686999999999,-7.999783096362228,0.7335961212750213,-9.744847,-5.281239,4.463608,5.0,5,5
safety_pass_resampling_max3,20000,0.1528,0.8472,1.42655,2.699575194684053,2.5145183473275097,4.1749585227230055,4.487982032811783,4.81218258615,1.0120485478143406,0.37668,5.16,4.78332,-5.536656679600001,0.6182436281881708,-5.73,-2.798215,2.9317850000000005,2.85015,3,3
safety_pass_resampling_max5,20000,0.251,0.749,1.26495,2.6138388768084533,2.499084715189986,4.1749585227230055,4.487982032811783,4.817532292499999,0.912581139032629,0.37668,5.16,4.78332,-5.548623923050001,0.5879367775256722,-5.73,-2.798215,2.9317850000000005,4.4928,5,5
