checkpoint,joint,delta_mean_deg,delta_std_deg,delta_min_deg,delta_max_deg,would_clamp_threshold_deg,clamp_count,n_seeds,clamp_rate,clamp_free_seed_count,l2_error_vs_gt_mean,l2_error_vs_gt_std
V2_7500_baseline,shoulder_pan,-0.966823758135785,0.8663931641498636,-2.792632092486371,0.6678266630067933,4.58,0,20,0.0,4,4.616692122627906,2.3376982366359664
V2_7500_baseline,shoulder_lift,5.1273517063685885,3.0132877030260365,-2.183211190359927,12.78192247663226,5.16,9,20,0.45,4,4.616692122627906,2.3376982366359664
V2_7500_baseline,elbow_flex,-7.08021777645572,2.303187076858453,-12.505665621914702,-1.8681228973053265,5.73,15,20,0.75,4,4.616692122627906,2.3376982366359664
V2_7500_baseline,wrist_flex,0.6643664663964571,0.9319978307885665,-1.6053579980200468,2.4764558142358126,4.01,0,20,0.0,4,4.616692122627906,2.3376982366359664
V2_7500_baseline,wrist_roll,0.42446896872677603,0.15732250029480144,0.09685768923916616,0.8648582919613341,1.15,0,20,0.0,4,4.616692122627906,2.3376982366359664
V2_7500_baseline,gripper,0.6804021467744604,0.5650696262976422,-0.548081768554519,1.5892311205446021,9.17,0,20,0.0,4,4.616692122627906,2.3376982366359664
combined65_2500,shoulder_pan,-4.864486063967695,2.2121389882928235,-9.649149884234419,0.37566281412984015,4.58,10,20,0.5,5,13.169631325915748,6.164234442254867
combined65_2500,shoulder_lift,-0.021445138113833195,7.781484962129642,-20.16004071916852,15.574250357491636,5.16,11,20,0.55,5,13.169631325915748,6.164234442254867
combined65_2500,elbow_flex,1.6277961395599079,6.809303349701416,-14.97373660580142,19.87049404605405,5.73,6,20,0.3,5,13.169631325915748,6.164234442254867
combined65_2500,wrist_flex,-2.0274729424780547,3.0313615981524165,-10.937980526096219,2.665916568630344,4.01,5,20,0.25,5,13.169631325915748,6.164234442254867
combined65_2500,wrist_roll,0.4140732511059264,0.3294857563564884,-0.3728145138247987,1.177360199309967,1.15,1,20,0.05,5,13.169631325915748,6.164234442254867
combined65_2500,gripper,1.562281047302415,1.4020639723569266,-0.7942308316648705,4.390038119751145,9.17,0,20,0.0,5,13.169631325915748,6.164234442254867
combined65_5000,shoulder_pan,-2.5954894437894716,1.511605018008957,-5.253847111712445,-0.4828309908018005,4.58,3,20,0.15,4,6.828855238347889,3.2476079355419056
combined65_5000,shoulder_lift,5.263076727730893,4.128525858688536,-4.8154591151646144,15.43023790631976,5.16,9,20,0.45,4,6.828855238347889,3.2476079355419056
combined65_5000,elbow_flex,-8.20830729977115,3.347225991067444,-16.214260897793608,-0.4705932952545453,5.73,15,20,0.75,4,6.828855238347889,3.2476079355419056
combined65_5000,wrist_flex,0.5189090079003634,1.5938879463896996,-3.831603878147,3.2547875708276095,4.01,0,20,0.0,4,6.828855238347889,3.2476079355419056
combined65_5000,wrist_roll,0.4266234859005431,0.22048314473108033,-0.05652556576571666,0.9300667270199279,1.15,0,20,0.0,4,6.828855238347889,3.2476079355419056
combined65_5000,gripper,0.3431612124025122,0.8522417607040715,-1.124354733032058,1.9996715654908912,9.17,0,20,0.0,4,6.828855238347889,3.2476079355419056
combined65_7500,shoulder_pan,-0.2112710847959411,0.842475690996113,-1.7160863771543395,1.266085635174762,4.58,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_7500,shoulder_lift,4.512215750558042,3.024942198164449,-1.415449959891177,13.241898672921323,5.16,7,20,0.35,3,4.78002046581492,2.22464890314531
combined65_7500,elbow_flex,-7.664412341275056,2.298314083597415,-13.660359225430327,-2.1701172210357953,5.73,17,20,0.85,3,4.78002046581492,2.22464890314531
combined65_7500,wrist_flex,-0.704607456333035,1.0517631502119502,-3.6806677514380155,0.8481942480737032,4.01,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_7500,wrist_roll,0.2318732007519225,0.14553147166548147,-0.09297738232455455,0.5694047435299376,1.15,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_7500,gripper,0.2792016138612524,0.5908227281259589,-0.8422845731199486,1.5410820116578834,9.17,0,20,0.0,3,4.78002046581492,2.22464890314531
combined65_10000,shoulder_pan,-0.4958320512876405,0.7645860803747021,-1.9275445833310973,0.8477296934023011,4.58,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_10000,shoulder_lift,3.830196326119565,2.7716309834165385,-1.367842538016177,11.902962820870542,5.16,5,20,0.25,5,4.1536061685141785,1.8732846672676802
combined65_10000,elbow_flex,-6.876480899014311,2.121249388030696,-11.827023348965483,-1.4049499847076703,5.73,15,20,0.75,5,4.1536061685141785,1.8732846672676802
combined65_10000,wrist_flex,-0.7285666161841092,1.0559216412149446,-3.4788550072973905,0.9070397680932345,4.01,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_10000,wrist_roll,0.21378817401089467,0.13142791763559808,-0.06151423611483775,0.5337573512569884,1.15,0,20,0.0,5,4.1536061685141785,1.8732846672676802
combined65_10000,gripper,-0.18843830923445057,0.5384754504579705,-1.0645440946043236,1.0897489656984107,9.17,0,20,0.0,5,4.1536061685141785,1.8732846672676802
