name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.2,0.8,1.2,4.252323389918198,3.593957301521563,7.993194067886582,9.918743383062596,5.721204050000001,2.844206476679945,-0.985495,13.069795,14.05529,-6.2158514,2.1061599772672164,-11.006673,-1.521474,9.485199,1.0,1,1
3_sample_median,1140,0.12982456140350876,0.8701754385964913,1.2982456140350878,3.259826409918091,2.8968861787701785,6.184309691086647,7.450084514913859,5.5405118280701755,1.445616211391374,2.934343,9.371278,6.436935,-6.258181285964913,1.1310112908303946,-9.449132,-3.206555,6.242577000000001,3.0,3,3
5_sample_median,15504,0.0869453044375645,0.9130546955624355,1.3686790505675954,3.018532778090284,2.8119025557106117,4.555235940810324,6.559493621021157,5.4197185659184735,1.0469750233398862,3.414361,9.046983,5.632622000000001,-6.308952957559339,0.7442735078166262,-8.147733,-3.511815,4.635918,5.0,5,5
safety_pass_resampling_max3,20000,0.5181,0.4819,0.72505,2.8259137752715393,2.473082686147199,5.383654287746528,5.383654287746528,3.6453577977499996,1.9547437017645417,-0.985495,5.16,6.145495,-4.844344477000001,1.1226281556358604,-5.73,-1.521474,4.208526000000001,2.42585,3,3
safety_pass_resampling_max5,20000,0.72435,0.27564999999999995,0.41715,2.9022312565141344,2.473082686147199,5.383654287746528,5.383654287746528,3.1407880304,2.0966836860673186,-0.985495,5.16,6.145495,-4.6521304678,1.0632909933677477,-5.73,-1.521474,4.208526000000001,3.27225,5,5
