name,n_units_evaluated,clamp_free_rate,failure_rate,avg_clamp_joint_count,gt_l2_mean,gt_l2_median,gt_l2_p95,gt_l2_max,shoulder_lift_mean,shoulder_lift_std,shoulder_lift_min,shoulder_lift_max,shoulder_lift_range,elbow_flex_mean,elbow_flex_std,elbow_flex_min,elbow_flex_max,elbow_flex_range,avg_inference_count,max_inference_count,max_inference_cap
single_random_sample,20,0.0,1.0,1.6,6.625839118903384,5.981547758543268,10.774419552420817,11.685288440984543,5.8986545,2.445520916041151,0.546029,12.471376,11.925346999999999,-10.171981050000001,1.774953057138117,-13.992764,-6.451009,7.541754999999999,1.0,1,1
3_sample_median,1140,0.0,1.0,1.656140350877193,6.20533652619435,6.0241170504837065,9.074284752054009,10.489689079852715,5.685854575438596,1.2488324587757813,3.431955,9.384095,5.95214,-10.114074559649122,1.025637698550818,-13.348035,-7.993283,5.3547519999999995,3.0,3,3
5_sample_median,15504,0.0,1.0,1.7038183694530444,6.104361213578201,6.058907892663127,7.88086451120302,9.52847864802848,5.571801412667698,0.9113879629927663,4.021066,8.709855,4.688788999999999,-10.09758509378225,0.7087166272181845,-12.351521,-8.332448,4.019073000000001,5.0,5,5
safety_pass_resampling_max3,20000,0.0,1.0,1.60005,2.7265536931994365,2.548053178365279,4.149281799434591,4.274011249115373,4.635540145199999,1.0669824792070477,0.546029,5.16,4.613971,-5.730000000000002,1.7763568394002505e-15,-5.73,-5.73,0.0,3.0,3,3
safety_pass_resampling_max5,20000,0.0,1.0,1.6091,2.736665389445938,2.5524286408851156,4.274011249115373,4.274011249115373,4.6574135952499995,1.043727119067441,0.546029,5.16,4.613971,-5.730000000000002,1.7763568394002505e-15,-5.73,-5.73,0.0,5.0,5,5
